png_finale, scala_png
F32_s001.png, 0.9665
F32_s001.png, 1.26862
F32_s002.png, 0.95671
F32_s003.png, 1.11845
F32_s003.png, 0.9669
F32_s004.png, 0.95215
F32_s005.png, 0.95792
F32_s006.png, 1.10741
F32_s006.png, 0.9582
F32_s007.png, 0.95126
F32_s007.png, 1.09987
F32_s008.png, 1.11701
F32_s008.png, 1.15306
F32_s009.png, 1.04421
F32_s009.png, 0.94066
F32_s010.png, 0.93886
F32_s010.png, 1.04326
F32_s011.png, 0.94933
F32_s011.png, 1.01686
F32_s012.png, 1.00729
F32_s012.png, 0.94169
F32_s013.png, 1.13291
F32_s013.png, 1.09737
F32_s014.png, 1.12486
F32_s014.png, 1.12186
F32_s015.png, 1.10867
F32_s015.png, 1.10608
F32_s016.png, 1.11016
F32_s017.png, 0.95598
F32_s018.png, 1.109
F32_s019.png, 1.1172
F32_s020.png, 1.06241
F32_s020.png, 1.10183
F32_s021.png, 1.11447
F32_s022.png, 1.10865
F32_s022.png, 1.03423
F32_s023.png, 1.04456
F32_s023.png, 1.11888
F32_s024.png, 1.02422
F32_s024.png, 1.132
F32_s025.png, 1.11221
F32_s025.png, 1.03797
F32_s026.png, 1.13966
F32_s026.png, 1.0303
F32_s027.png, 1.15004
