"","lower","r","upper","p"
"vlLGC-dACC",-0.961759275578477,-0.797725314190836,-0.212514080422393,0.0176783502777835
"subGn-dACC",-0.942466385259825,-0.556733190341002,0.464864696137625,0.251180454311226
"MHb-dACC",-0.894706809171383,-0.514266217199458,0.298625423582425,0.192271924311246
"LHb-dACC",-0.85534733483911,-0.287431215593734,0.594254769461943,0.531946059150316
"SON-dACC",-0.325129599328659,0.566673750583638,0.924999275586141,0.184690231234968
"PVH-dACC",-0.770341601547935,-0.143644481403023,0.624212745069729,0.734348566640827
"IPVH-dACC",-0.87894072311879,-0.457835276327964,0.364402780178204,0.253975638884804
"ArH-dACC",-0.886650760834201,-0.267766871972145,0.694775540837837,0.607949013602406
"ADPO-dACC",-0.948148097625185,-0.592516859266628,0.421940126426732,0.215234003241554
"AVPO-dACC",-0.826753898826112,-0.0461727672021225,0.795185735011423,0.930790067622041
"AVPV-dACC",-0.774382755893142,-0.0511572826316797,0.730024590856098,0.913266297670518
"DMH-dACC",-0.924056720451008,-0.56225204791677,0.330920677116603,0.188912279540211
"MePO-dACC",-0.910148094072327,-0.572923511121838,0.220953632972547,0.13769184551657
"MPA-dACC",-0.651222518255545,0.0987808158331978,0.751166426391496,0.81598727913554
"PSN-dACC",-0.906749623500211,-0.360402030497995,0.637670400122147,0.482803196293709
"SPZ-dACC",-0.87595456145433,-0.361082806734927,0.53836574268268,0.426173913887937
"SCN-dACC",-0.96507139330967,-0.708120086743389,0.243209543860905,0.115357633942707
"AHN-dACC",-0.658604700803985,0.187395513834928,0.824149836204916,0.687423888546202
"SMN-dACC",-0.840317712135948,-0.237640304872154,0.627759786716686,0.607863586616565
"MPO-dACC",-0.65667856929084,0.190668258494534,0.825235521161835,0.682163033723469
"VMHn-dACC",-0.715245055194105,0.0819566158539838,0.78647498784613,0.861332929726638
"PHn-dACC",-0.90145629427715,-0.539475181935098,0.266513986121237,0.16760552495902
"LHA-dACC",-0.813963143207254,-0.256295785398031,0.54720492531081,0.540074994270143
"LPO-dACC",-0.753508009854839,-0.104120799526304,0.648104256792279,0.806179897203052
"PSTN-dACC",-0.517845053831385,0.294176075318236,0.827342605439464,0.479416027811238
"STN-dACC",-0.529983351303489,0.37123951522252,0.878656174817546,0.412280225633978
"ZI-dACC",-0.841839130360228,-0.337200997660134,0.482003990853591,0.414039882335207
"FF-dACC",-0.896462266293274,-0.311602208734575,0.669185590682927,0.547724341032585
"TN-dACC",-0.889980937809376,-0.282363474887853,0.686516723801237,0.587711085041923
"reSN-dACC",-0.641138584155729,0.115894807437578,0.758613351265769,0.784635212216277
"cSN-dACC",-0.703135411416776,0.00304748773239456,0.706203856025199,0.994285995879876
"VTA-dACC",-0.870801006132706,-0.429971355391647,0.394113782534527,0.287656617842817
"PAG-dACC",-0.766017948683564,-0.0306274936671864,0.739486337473398,0.948029535155233
"SCO-dACC",-0.892913314534192,-0.42692878687818,0.480663777121723,0.339427747747612
"PreCN-dACC",-0.467276702359657,0.5546032668125,0.942121021176087,0.253388862673095
"APTN-dACC",-0.864341977577324,-0.408442629115304,0.415947738269162,0.315080599269633
"FP-Vacc",-0.769947850953171,-0.0401960103231316,0.735113947919238,0.931816247549841
"PL-Vacc",-0.673491670627858,0.0593466774454704,0.733350874517603,0.888985979557265
"IL-Vacc",-0.820255824866996,-0.273900956301716,0.533801269571745,0.511543268014596
"dACC-Vacc",0.0253819773506402,0.717226596399438,0.944526320410467,0.0452167163541663
"Vacc-Vacc",NA,1,NA,0
"OA-Vacc",-0.667885080682343,0.0694950222523538,0.73802589221239,0.870115763233251
"AU-Vacc",-0.64382565592242,0.111377942641911,0.75666407523923,0.792886990908588
"M2-Vacc",-0.463948977597026,0.357651905391676,0.848483548324394,0.384394438613134
"M1-Vacc",-0.485530006221741,0.333114754946771,0.840492935348679,0.420076959328006
"S1-Vacc",-0.341028942732421,0.478676611767245,0.884872723750071,0.230156942461222
"SS-Vacc",-0.649168056458665,0.102303917018471,0.752713151586916,0.809514355924285
"GA-Vacc",-0.734854944287062,-0.0625965223454197,0.671705380613173,0.882937752071888
"AuA-Vacc",-0.52465463666571,0.285611811552257,0.824369694919013,0.492888305154407
"RS-Vacc",-0.793235212066367,-0.20080847269131,0.58691552272211,0.633483430382767
"AA-Vacc",-0.517642697049848,0.294428595410342,0.827429811637732,0.479021019678728
"ViA-Vacc",-0.711313991576615,-0.0133152469857481,0.69790606009423,0.975036862666513
"TeAA-Vacc",-0.51305791457986,0.300119695136288,0.829388401858143,0.47015291552683
"Prh-Vacc",-0.450185258670816,0.372730090426054,0.853285253999776,0.363161496213873
"lpEC-Vacc",-0.496981884002473,0.319627790544948,0.836004805779929,0.440264140212542
