SS,MS,SC,MC,HC
AuA = 0.029256002084463325,dEPn = 0.036636714691272436,pRE = 0.04467099768507779,S1 = 0.03021209314348817,ArH = 0.01561163864369892
DG = 0.02832398145071088,IMDT = 0.03652563575622255,PL = 0.04300590961969009,LHA = 0.02972552378815014,PTTn = 0.015398297974895205
Prh = 0.024544817927170868,BLA = 0.0352986119618547,OA = 0.041648072145985066,DMH = 0.027064891090717552,SON = 0.01493197195463138
VPMT = 0.02127714195203539,LPT = 0.03409045088426694,CA = 0.03951726029786179,LPO = 0.02677430805760168,MDT = 0.014778779094965203
AA = 0.02115482891460297,VA = 0.032090290152392044,FF = 0.03752412351877198,RT = 0.025668409198468287,PlnT = 0.014352295706751632
SFn = 0.020799566772980255,PlnT = 0.03148421157002238,PC = 0.035547510405280355,LAn = 0.023456229428199867,GA = 0.014346015522030525
PCn = 0.020650947448671197,lpEC = 0.03129214075010528,TnS = 0.03415072603678631,LPT = 0.02342187935069455,SFn = 0.014244596610348189
ViA = 0.020614375660986863,PAG = 0.030523312605979746,AMn = 0.03319327731092437,MGC = 0.022808123098090508,MHb = 0.013896921217207177
IMDT = 0.01887124675735439,dACC = 0.027289560122810454,aOn = 0.03305322128851541,PSN = 0.02183532289412011,Gpi = 0.013566719798321804
VA = 0.017070048827127402,TnS = 0.025919700476060632,IGLLGC = 0.03305322128851541,MHb = 0.021803375832786374,ViA = 0.0135070252745831
VPLT = 0.016889452178955253,DBn = 0.025402874343623216,MePO = 0.03305322128851541,SFn = 0.021777410960012938,RT = 0.013364741323343724
FF = 0.016666666666666666,Gpe = 0.023922777075431934,STN = 0.03305322128851541,BNST = 0.021011731098821818,PC = 0.013269410374255615
ZI = 0.016666666666666666,IG = 0.02322880971645322,SMT = 0.03137254901960784,IGLLGC = 0.02052503117697413,VA = 0.013013727514889526
SON = 0.016666666666666666,XiT = 0.021994953882132327,MPO = 0.03130624977263632,DBn = 0.020329962906607737,dACC = 0.012901302856555512
PAA = 0.016666666666666666,LHb = 0.021599188599623568,Sub = 0.031294665779089376,cSN = 0.019572944966315772,TeAA = 0.012219588178176496
AMn = 0.016338211774509944,NACC.CORE = 0.018175481457719134,IPVH = 0.03101635096657454,Clst = 0.019074225951122865,LPO = 0.012018235484373101
PAn = 0.015938375350140054,SS = 0.017699115044247787,DLS = 0.02988068034077103,TeAA = 0.01833906610692325,NACC.CORE = 0.012006162529172755
LPO = 0.015418327423916633,FC = 0.017699115044247787,SFn = 0.02907281516499156,proSub = 0.017857142857142856,DMS = 0.01200305618408751
aOn = 0.013453392688807868,VMHn = 0.017699115044247787,FC = 0.026104183073314254,dEPn = 0.017857142857142856,subGn = 0.011856610998399282
SubInn = 0.012826809400164466,STN = 0.017699115044247787,PAG = 0.023750307058219077,EnT = 0.016446957247919797,Rh = 0.011813613425603161
FP = 0.011290359121508222,EnT = 0.01737050939643758,vEPn = 0.022216497030577032,SCO = 0.015120546687658444,Clst = 0.01143745430433835
Ech = 0.00838001867413632,ADPO = 0.01591572100816728,proSub = 0.02065377723452987,DG = 0.014704301740393673,VTA = 0.011067918985984701
PCT = 0.008332012986261315,aAA = 0.01556837336704597,AA = 0.016666666666666666,BLA = 0.0142609672010229,Ech = 0.01101425840861208
LHA = 0.008263305322128852,RT = 0.014327278810527864,NACC.SHELL = 0.016666666666666666,AuA = 0.013852325322444285,TN = 0.010648794943665035
vlLGC = 0.008263305322128852,SubInn = 0.013645701643489215,SubInn = 0.016666666666666666,PC = 0.013662747653538929,IADT = 0.010640106026743637
IAn = 0.008226952765173214,Vacc = 0.013089970501474956,CMT = 0.016666666666666666,CA2 = 0.013280894176154691,PT = 0.010448072025664437
MPA = 0.008171016512793101,Rh = 0.012506626743599272,ADPO = 0.016666666666666666,DPA = 0.013181518181375909,DMH = 0.010417841645825054
AVPO = 0.008171016512793101,RE = 0.011518453105705073,SCN = 0.016666666666666666,MPA = 0.012497430766064696,VMHn = 0.009919287290148179
MSn = 0.008171016512793101,MPA = 0.011449330335513127,MSn = 0.01610644257703081,Gpe = 0.011269199564403289,AVPV = 0.009814151517672925
AHN = 0.007913165266106442,FP = 0.010502165458866607,DMH = 0.015569803769033436,PAG = 0.010365373883791888,IMDT = 0.00930632197464598
BMe = 0.007698412698412697,proSub = 0.010271707853882317,PSTN = 0.013682004777181976,PAA = 0.010041380135416623,AA = 0.009305560216674558
AVPV = 0.006706438879984777,PCn = 0.009445450089286225,CA2 = 0.012900994543819915,PVT = 0.008795332981925724,MPO = 0.008988020102224945
DBn = 0.006333184637981996,CLT = 0.009176259429149179,SPZ = 0.012826033990110751,LSN = 0.008767285388024744,MGC = 0.008760604387557835
MGCn = 0.006333184637981996,Ech = 0.007042336307111909,AHN = 0.012826033990110751,PCn = 0.00785068570997313,vlLGC = 0.008109526474530039
DMS = 0.006229188407389099,DG = 0.006217930036672135,PHn = 0.012725872179221852,dACC = 0.006641971549694562,BLA = 0.007853640577596315
reSN = 0.006071415194038536,CA = 0.004555331941551918,CCA = 0.010775501676599592,AA = 0.006617531049727271,MPA = 0.007745806162906824
ADPO = 0.0057607181657495475,IADT = 0.0034790652651513826,SS = 0.006898432831857927,NACC.SHELL = 0.005924699659918868,AU = 0.0073562754922448645
Rh = 0.005208741335026893,CA1 = 0.0034371049304677626,IG = 0.005512822997699902,GA = 0.005723009558699089,FStr = 0.00732102602164796
IL = 0.00393998871930278,SON = 0.0033579028956715433,VA = 0.005273001485512351,MDT = 0.0055754012296098466,PL = 0.006882794830789962
CLT = 0.003640382601446916,CMT = 0.003015622899065768,AuA = 0.004455481938675465,ZI = 0.0053081576763003,dEPn = 0.006707931386581504
MDT = 0.002479711533578183,Sub = 0.00243889591234724,FStr = 0.0026360047752082825,PTTn = 0.0052411941578792524,MAn = 0.0065994041127067585
OT = 0.002476525589870335,AHN = 0.0022569415940149186,CLT = 0.0024743230625583566,vlLGC = 0.005162538558653606,ADPO = 0.006321526553775091
SCN = 0.002321034281831305,AVPO = 0.0021507516924710343,DPA = 0.002189150169871867,subGn = 0.004859251350959881,PVH = 0.005935321349883655
dACC = 0.0008176754361875469,MPO = 0.0018593247838153764,PCn = 0.0015419501133786847,IPVH = 0.004751887498112889,IPVH = 0.005698673668015545
MePO = 0.00034900293282079896,VALCT = 0.001626683121626232,DMS = 0.0010905744484802703,SS = 0.003601811412408127,AVPO = 0.005575062268606353
SMN = 0.00028944911297852476,LHA = 0.0005602422756341847,PreCN = 0.0005277110844337736,STN = 0.0033145279725870403,IG = 0.004869570561214942
GA = 0.00016860590390002157,VPMT = 0.0004661820480404552,OT = 0.0003501400560224089,RE = 0.0030847071613049055,aAA = 0.0048148040641021565
TT = 0.00014005602240896358,BMe = 0.00045902922404186634,AU = 3.5014005602240894e-05,VA = 0.0028570705093043103,TnS = 0.004277263397502923
lpEC = 0.00010504201680672268,TeAA = 0.00011852085967130216,IL = 0.0,CLT = 0.0015636509300213412,LHb = 0.004129891484463069
NACC.SHELL = 6.65266106442577e-05,AA = 4.891337065799772e-05,GA = 0.0,SMT = 0.0010281594454573894,APTN = 0.003983653378740198
aAA = 1.2732365673542144e-05,OA = 0.0,RS = 0.0,MePO = 0.0009541960402836715,SMN = 0.003578640021225184
PAG = 0.0,S1 = 0.0,DG = 0.0,Gpi = 0.0008602033318563219,EnT = 0.0033827959841600795
TN = 0.0,RS = 0.0,dEPn = 0.0,SPZ = 0.0005434678797774033,DG = 0.0033238491778262084
STN = 0.0,ViA = 0.0,aAA = 0.0,PT = 0.0003439983350697636,DLS = 0.003310974861951331
PSTN = 0.0,Prh = 0.0,LSN = 0.0,AMn = 0.00024131274131274132,XiT = 0.003284156728144929
SPZ = 0.0,aOn = 0.0,MGCn = 0.0,VPLT = 8.797582326994092e-05,VPLT = 0.0031268178613701016
