Region ID;Region Name;Region pixels;Region area;Area unit;Object count;Object pixels;Object area;Area unit;Load
450;Primary somatosensory area, upper limb, layer 1;57619;57619.48218;um2;26;181;181;um2;0.003141
854;Primary somatosensory area, upper limb, layer 2/3;136927;136927.1964;um2;189;1231;1231;um2;0.00899
577;Primary somatosensory area, upper limb, layer 4;61180;61180.23669;um2;117;658;658;um2;0.010755
625;Primary somatosensory area, upper limb, layer 5;126245;126244.9329;um2;51;267;267;um2;0.002115
945;Primary somatosensory area, upper limb, layer 6a;196813;196812.6133;um2;40;164;164;um2;0.000833
1026;Primary somatosensory area, upper limb, layer 6b;19099;19098.59241;um2;6;43;43;um2;0.002251
361;Primary somatosensory area, trunk;0;0;um2;0;0;0;um2;0
1006;Primary somatosensory area, trunk, layer 1;27839;27838.62622;um2;16;66;66;um2;0.002371
670;Primary somatosensory area, trunk, layer 2/3;17804;17803.77258;um2;18;123;123;um2;0.006909
1086;Primary somatosensory area, trunk, layer 4;0;0;um2;0;0;0;um2;0
1111;Primary somatosensory area, trunk, layer 5;0;0;um2;0;0;0;um2;0
9;Primary somatosensory area, trunk, layer 6a;0;0;um2;0;0;0;um2;0
461;Primary somatosensory area, trunk, layer 6b;0;0;um2;0;0;0;um2;0
182305689;Primary somatosensory area, unassigned;0;0;um2;0;0;0;um2;0
182305693;Primary somatosensory area, unassigned, layer 1;36902;36902.36499;um2;17;100;100;um2;0.00271
182305697;Primary somatosensory area, unassigned, layer 2/3;81574;81573.64893;um2;94;556;556;um2;0.006816
182305701;Primary somatosensory area, unassigned, layer 4;54382;54382.43262;um2;92;497;497;um2;0.009139
182305705;Primary somatosensory area, unassigned, layer 5;82545;82544.76379;um2;23;155;155;um2;0.001878
182305709;Primary somatosensory area, unassigned, layer 6a;122360;122360.4734;um2;24;131;131;um2;0.001071
182305713;Primary somatosensory area, unassigned, layer 6b;11330;11329.67346;um2;0;0;0;um2;0
378;Supplemental somatosensory area;0;0;um2;0;0;0;um2;0
873;Supplemental somatosensory area, layer 1;261877;261877.3094;um2;108;1149;1149;um2;0.004388
806;Supplemental somatosensory area, layer 2/3;440239;440238.7402;um2;729;6089;6089;um2;0.013831
1035;Supplemental somatosensory area, layer 4;242779;242778.717;um2;448;3152;3152;um2;0.012983
1090;Supplemental somatosensory area, layer 5;459661;459661.0376;um2;272;2069;2069;um2;0.004501
862;Supplemental somatosensory area, layer 6a;442505;442504.6749;um2;232;1780;1780;um2;0.004023
893;Supplemental somatosensory area, layer 6b;44348;44347.57898;um2;12;106;106;um2;0.00239
1057;Gustatory areas;0;0;um2;0;0;0;um2;0
36;Gustatory areas, layer 1;0;0;um2;0;0;0;um2;0
180;Gustatory areas, layer 2/3;0;0;um2;0;0;0;um2;0
148;Gustatory areas, layer 4;0;0;um2;0;0;0;um2;0
187;Gustatory areas, layer 5;0;0;um2;0;0;0;um2;0
638;Gustatory areas, layer 6a;0;0;um2;0;0;0;um2;0
