png_finale, scala_png
F87_s001.png, 0.75801
F87_s002.png, 1.16105
F87_s003.png, 1.14799
F87_s004.png, 1.14739
F87_s005.png, 1.12832
F87_s006.png, 1.12826
F87_s007.png, 1.15021
F87_s008.png, 1.13174
F87_s009.png, 1.14826
F87_s010.png, 1.14634
F87_s011.png, 1.14534
F87_s012.png, 1.13154
F87_s013.png, 1.13502
F87_s014.png, 1.13282
F87_s015.png, 1.13213
F87_s016.png, 1.15961
F87_s017.png, 1.13385
F87_s018.png, 1.13678
F87_s019.png, 1.18007
F87_s020.png, 1.1677
F87_s021.png, 1.13316
F87_s022.png, 1.176
F87_s023.png, 1.20852
F87_s024.png, 1.17138
F87_s025.png, 1.22876
F87_s026.png, 1.20824
F87_s027.png, 1.13616
F87_s028.png, 1.21238
F87_s029.png, 1.21085
F87_s030.png, 1.21197
F87_s031.png, 1.21644
F87_s032.png, 1.22306
F87_s033.png, 1.20887
F87_s034.png, 1.24096
F87_s035.png, 1.22769
F87_s036.png, 1.23177
