,,,,,,,,,,Latency to the platform (s),,,,,,,,,,,,,,,,,,,,,,,,,,Path lenght to the platform (m),,,,,,,,,,,,,,,,,,,,,,,,,,Mean speed (m/s),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAME,ANIMAL ID,CAGE,DATE OF BIRTH,BEHAVIOUR TASK,AGE,PROTOCOL,POSITION PLATFORM ,NOTE ,,S1 Trial 1,S1 Trial 2,S1 Trial 3,S1 Mean,S2 Trial 1,S2 Trial 2,S2 Trial 3,S2 Mean,S3 Trial 1,S3 Trial 2,S3 Trial 3,S3 Mean,S4 Trial 1,S4 Trial 2,S4 Trial 3,S4 Mean,S5 Trial 1,S5 Trial 2,S5 Trial 3,S5 Mean,S6 Trial 1,S6 Trial 2,S6 Trial 3,S6 Mean,,,S1 Trial 1,S1 Trial 2,S1 Trial 3,S1 Mean,S2 Trial 1,S2 Trial 2,S2 Trial 3,S2 Mean,S3 Trial 1,S3 Trial 2,S3 Trial 3,S3 Mean,S4 Trial 1,S4 Trial 2,S4 Trial 3,S4 Mean,S5 Trial 1,S5 Trial 2,S5 Trial 3,S5 Mean,S6 Trial 1,S6 Trial 2,S6 Trial 3,S6 Mean,,,S1 Trial 1,S1 Trial 2,S1 Trial 3,S1 Mean,S2 Trial 1,S2 Trial 2,S2 Trial 3,S2 Mean,S3 Trial 1,S3 Trial 2,S3 Trial 3,S3 Mean,S4 Trial 1,S4 Trial 2,S4 Trial 3,S4 Mean,S5 Trial 1,S5 Trial 2,S5 Trial 3,S5 Mean,S6 Trial 1,S6 Trial 2,S6 Trial 3,S6 Mean
F72,1,#59,12/27/2019,3/11/2020,11 wks,MASSED SPATIAL,EAST,,,24,5.3,38.3,22.53,3.8,7.7,4.5,5.33,9.1,7,18.8,11.63,5.3,17.3,7.7,10.1,10.1,6.2,5,7.1,3.7,14.4,6.5,8.2,,,5.56,0.94,8.22,4.91,0.49,1.51,0.51,0.84,2.08,1.51,4.72,2.77,1.01,4.17,1.51,2.23,2.12,1.12,0.9,1.38,0.68,3.45,1.37,1.83,,,0.23,0.18,0.22,0.21,0.13,0.2,0.12,0.15,0.23,0.22,0.25,0.23,0.19,0.24,0.2,0.21,0.21,0.18,0.18,0.19,0.18,0.24,0.21,0.21
F73,2,#59,12/27/2019,3/11/2020,11 wks,MASSED SPATIAL,EAST,,,41.8,11.3,5.1,19.4,4.9,16.7,5.4,9,11.7,3.3,23.4,12.8,20.7,12.4,6.2,13.1,12.8,17.2,12.7,14.23,14.8,5.1,21.1,13.67,,,9.37,2.65,0.71,4.24,0.95,3.43,0.85,1.74,2.34,0.43,6.89,3.22,6.29,3.41,1.64,3.78,3.4,4.98,3.42,3.93,3.71,0.83,4.8,3.11,,,0.22,0.24,0.14,0.2,0.2,0.21,0.16,0.19,0.2,0.13,0.29,0.21,0.3,0.28,0.27,0.28,0.27,0.29,0.27,0.27,0.25,0.16,0.23,0.21
F99,1,#210,11/28/2020,3/24/2021,17 weeks,SPACED SPATIAL ,NORTH,,,29,46,3.4,26.13333333,6.9,10.6,12.5,10,3.4,15.3,56.6,25.1,11.6,12.1,6.6,10.1,8.1,20.6,14.5,14.4,19.8,13.9,5.9,13.2,,,8.634,10.529,0.293,6.485333333,1.001,2.466,2.806,2.091,0.332,3.54,13.641,5.837666667,2.544,2.423,0.969,1.978666667,2.13,5.337,3.535,3.667333333,1.761,1.114,2.496,1.790333333,,,0.298,0.229,0.086,0.204333333,0.145,0.232,0.225,0.200666667,0.099,0.231,0.241,0.190333333,0.219,0.2,0.147,0.188666667,0.264,0.259,0.243,0.255333333,0.227,0.225,0.214,0.222
F100,2,#210,11/28/2020,3/24/2021,17 weeks,SPACED SPATIAL ,NORTH,,,42.5,37.9,60,46.8,18.7,42,33,31.23333333,60,6.5,6.4,24.3,10.5,24.5,15.4,16.8,18.8,60,33,37.26666667,4.5,2.3,60,22.26666667,,,12.43,8.515,13.066,11.337,3.833,9.127,5.623,6.194333333,14.234,1.051,1.054,5.446333333,1.946,4.874,2.408,3.076,3.939,14.604,6.73,8.424333333,4.489,3.134,1.271,2.964666667,,,0.292,0.224,0.218,0.244666667,0.205,0.217,0.171,0.197666667,0.237,0.161,0.164,0.187333333,0.185,0.199,0.156,0.18,0.209,0.243,0.204,0.218666667,0.137,0.092,0.242,0.157
F101,3,#210,11/28/2020,3/24/2021,17 weeks,SPACED SPATIAL ,NORTH,,,5.5,36.1,60,33.86666667,60,21.5,43,41.5,24.3,15.3,19.1,19.56666667,24.5,21.2,4,16.56666667,4.8,4.3,20.6,9.9,47,27.4,6,26.8,,,0.85,8.018,13.368,7.412,12.363,2.526,7.565,7.484666667,5.777,3.301,4.008,4.362,4.918,4.52,0.502,3.313333333,1.077,0.467,4.13,1.891333333,8.241,4.556,0.686,4.494333333,,,0.155,0.222,0.223,0.2,0.206,0.118,0.176,0.166666667,0.238,0.216,0.21,0.221333333,0.201,0.213,0.126,0.18,0.223,0.109,0.2,0.177333333,0.175,0.166,0.115,0.152
F102,4,#210,11/28/2020,3/24/2021,17 weeks,SPACED SPATIAL ,NORTH,,,10.8,23.4,4.3,12.83333333,12.8,4.4,31.4,16.2,5.5,7.1,5.1,5.9,60,21.1,42.6,41.23333333,6.6,47.8,5.8,20.06666667,7.3,15.2,2.7,8.4,,,2.393,6.312,0.372,3.025666667,3.007,0.764,7.318,3.696333333,1.077,1.426,0.787,1.096666667,11.469,4.527,7.954,7.983333333,0.977,10.968,1.071,4.338666667,1.683,3.55,0.316,1.849666667,,,0.221,0.269,0.086,0.192,0.235,0.173,0.233,0.213666667,0.194,0.201,0.155,0.183333333,0.191,0.214,0.187,0.197333333,0.148,0.229,0.183,0.186666667,0.23,0.233,0.118,0.193666667
F110,1,#212,11/30/2020,3/24/2021,17 weeks,SPACED SPATIAL ,NORTH,,,15.5,6.9,7.7,10.03333333,8.3,13.6,17.8,13.23333333,58.9,11.9,4.9,25.23333333,26.6,4.5,14.9,15.33333333,3.9,4.5,5.7,4.7,5.2,3.1,13.8,7.366666667,,,3.167,0.754,1.224,1.715,1.693,3.126,4.402,3.073666667,13.877,2.502,0.576,5.651666667,6.313,0.705,2.727,3.248333333,0.467,0.528,0.94,0.645,0.826,0.385,2.85,1.353666667,,,0.205,0.11,0.158,0.157666667,0.203,0.23,0.247,0.226666667,0.235,0.21,0.118,0.187666667,0.238,0.156,0.183,0.192333333,0.121,0.117,0.166,0.134666667,0.159,0.126,0.207,0.164
F111,2,#212,11/30/2020,3/24/2021,17 weeks,SPACED SPATIAL ,NORTH,,,30.9,14.3,18.1,21.1,41,27.7,17.2,28.63333333,11,3.2,20,11.4,20.1,5.4,35,20.16666667,15.2,8.5,27.4,17.03333333,9.7,4.4,6.2,6.766666667,,,8.592,3.419,2.57,4.860333333,9.3,5.925,3.639,6.288,2.461,0.422,4.923,2.602,4.702,1.233,7.804,4.579666667,3.698,2.102,6.923,4.241,2.293,0.745,1.207,1.415,,,0.278,0.239,0.142,0.219666667,0.227,0.214,0.212,0.217666667,0.224,0.133,0.246,0.201,0.234,0.227,0.223,0.228,0.244,0.248,0.253,0.248333333,0.236,0.17,0.194,0.2
F32,1,#115,9/4/2019,11/21/2019,11 weeks,SPACED SPATIAL,,,,60,7.1,4.9,24,21.2,17.4,14.3,17.63,40.9,11,7,19.63,13.4,6.5,41.9,20.6,6.2,11.9,28.5,15.53,5.5,23.5,7,12,,,16.98,1.56,0.69,6.41,5.31,3.44,2.8,3.85,10.79,2.51,1.49,4.93,2.54,1.35,9.01,4.3,1.19,2.59,6.49,3.42,1.06,5.12,1.08,2.42,,,0.28,0.22,0.14,0.22,0.25,0.2,0.2,0.21,0.26,0.23,0.21,0.23,0.19,0.21,0.22,0.2,0.19,0.22,0.23,0.21,0.19,0.22,0.16,0.19
F33,2,#115,9/4/2019,11/21/2019,11 weeks,SPACED SPATIAL,,,,23.5,60,60,47.83,60,7.7,7.5,25.07,10.1,10,5.7,8.6,26.7,5.5,5.8,12.67,14.2,7.2,2.6,8,9.4,11.8,13.2,11.47,,,6.71,15.44,11.47,11.21,13.82,1.38,1.35,5.52,2,1.86,1.26,1.71,6.34,1.08,0.62,2.68,3.25,1.32,0.38,1.65,2.17,2.92,2.92,2.67,,,0.29,0.26,0.19,0.24,0.23,0.18,0.18,0.2,0.2,0.19,0.22,0.2,0.24,0.19,0.11,0.18,0.23,0.18,0.15,0.19,0.23,0.25,0.22,0.23
