,HC1,HC2,HC3,HC4,HC5,HC6,HC7,HC8,SS1,SS2,SS3,SS4,SS5,SS6,SS7,SS8,MS1,MS2,MS3,MS4,MS5,MS6,MS7,MS8,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,MC1,MC2,MC3,MC4,MC5,MC6,MC7,MC8
MGCn,6.20E-05,0.000295384,0.000441738,0.000448962,0.000429113,5.31E-05,0.00014328,0.000533181,0.000407356,0.000558296,0.000124953,0.000442488,0.000629418,0.000303604,0.000261307,0.000474286,0.000347565,0.000492986,0.000252698,0.000436335,0.000950592,0.000241972,0.000121732,0.00111517,0.00043249,0.000167481,0.00031787,0.000534863,0.000523124,0.000399704,8.13E-05,0.000165809,0.000611785,0.000420645,0.000286648,0.00032295,0.000510896,0.000582524,0.002146683,0.000290817
MSn,0.000146088,0.000614965,0.000317001,0.000514606,0.000517738,0.000148516,0.000299888,0.000451355,0.000544264,0.000426098,0.000286958,0.000584396,0.000952159,0.000380662,0.000416973,0.000376812,0.000585628,0.00089342,0.000590548,0.000758552,0.001050901,0.000492235,0.000363138,0.000662344,0.000849021,0.000285494,0.000345797,0.000583858,0.000640891,0.000527276,0.000264265,0.000242206,0.000795612,0.000529079,0.000470856,0.000576409,0.00062119,0.000910956,0.002523669,0.000656056
DBn,8.98E-05,0.000370298,0.000341892,0.000269498,0.00070781,9.61E-05,0.000118904,0.000365246,0.000318846,0.000496713,0.000153002,0.000471689,0.000586357,0.000261251,0.000246787,0.000422943,0.000306502,0.000563125,0.000317307,0.000816991,0.000827646,0.000400274,0.000445848,0.00106691,0.000969174,0.000153264,0.000411541,0.0007592,0.000541111,0.000542813,0.000203587,0.000182011,0.000538656,0.000514753,0.000298913,0.000339377,0.000431552,0.000933395,0.002119917,0.000378916
TnS,9.56E-05,0.000450852,0.000202673,NA,0.000416878,4.14E-05,0.000286306,0.000361667,0.000282757,0.000324056,0.000156911,0.000140572,0.000324716,0.000263868,0.000400622,0.000526412,0.000138338,0.000226991,0.000306659,0.000247462,0.000234759,NA,0.000185454,0.000197643,0.000143119,0.000112864,0.000152851,0.000747122,0.00013058,0.000295605,0.000418945,0.000230932,0.00050029,0.00018698,0.000335761,0.000199053,9.02E-05,0.000215292,0.000264382,0.000412568
BNST,0.000293058,0.000589883,0.000385022,NA,0.000502025,0.000250192,0.000477401,0.000300145,0.000510878,0.000619265,0.000457662,0.000485383,0.000402017,0.000552708,0.000556718,0.000458295,0.000612937,0.000737753,0.000737028,0.000469144,0.000840932,0.000966412,0.00042474,0.000720636,0.000432675,0.000344725,0.000437829,0.00089013,0.000469317,0.000451235,0.000478833,0.00040485,0.000749684,0.000722993,0.000481611,0.000508373,0.000537741,0.000951745,0.001382065,0.000648319
VALCT,7.61E-05,0.000167904,9.79E-05,0.000268805,0.000192991,8.89E-05,3.74E-05,0.000319295,0.000356723,0.000337039,0.000126949,0.000275154,9.72E-05,0.00066521,0.000106592,0.000187647,0.000198475,0.000532085,0.000436018,5.80E-05,0.000169623,NA,0.000398446,NA,0.000261312,0.000166549,8.65E-05,0.000430955,0.000177091,0.000232421,0.000133228,0.000214316,0.000159053,0.000243558,0.000309954,0.000132627,0.000320508,0.000929909,0.001696594,0.000275478
VMT,0.000161456,0.000375489,0.000278414,0.000326358,0.000312249,0.000212271,0.000295172,0.000331599,0.000200518,0.000415276,0.00019499,0.000418727,0.000136641,0.00063572,0.000277765,0.000222131,0.000392014,0.000554477,0.000461952,0.000163976,0.000446161,0.000736787,0.000499855,0.000838312,0.000277674,0.000294731,0.000152315,0.000432139,0.00036995,0.000245925,0.000180565,0.000305103,0.000466726,0.000508429,0.000477501,0.000307114,0.000308235,0.00074388,0.001866475,0.000523601
VPLT,8.44E-05,0.000225546,0.00016072,0.000182239,0.000269758,9.52E-05,3.88E-05,0.000321886,0.000287529,0.000327488,0.000126489,0.000375895,0.000136765,0.000539316,0.000159985,0.000104532,0.000118587,0.000247555,0.000246398,9.38E-05,0.000151482,0.000172914,0.000187416,0.00049185,0.000130627,0.00013982,6.00E-05,0.000284298,0.000255228,0.000347397,0.000174463,0.000253988,5.97E-05,0.000131651,0.000204398,0.000102436,0.000327176,0.000692247,0.00147644,0.000156089
VPMT,6.73E-06,0.000233136,0.000345184,5.41E-05,0.000108169,5.81E-05,1.53E-05,0.000261184,0.000291011,0.000638407,9.27E-05,0.000917422,0.000166119,0.00085131,7.42E-05,4.71E-05,0.00015922,4.66E-05,6.57E-05,4.54E-05,0.000241464,0.000144912,0.000124499,0.000560179,8.09E-05,0.00010345,6.34E-05,0.000183468,0.000484744,0.000382186,7.34E-05,0.000182943,5.53E-05,0.000154523,0.000160968,0.000119807,0.000380257,0.001287309,0.002176144,3.40E-05
PTTn,0.000230483,0.000644067,0.000281162,4.95E-05,0.000209494,0.000137254,NA,0.000155146,7.68E-05,0.000332394,0.000165797,0.000633812,0.000201931,0.000779846,0.000242527,0.000144496,0.000186304,0.000478591,0.000294504,0.000148738,0.000338173,0.000259045,NA,0.000548155,0.000185953,9.48E-05,0.000163098,0.000264809,0.000499047,0.000248515,NA,0.000455693,0.000291461,NA,0.000159313,0.000152252,0.000440697,0.000846038,0.001623141,8.16E-05
MGC,9.78E-05,0.00037166,9.66E-05,0.000199328,0.000243406,0.000101841,6.83E-05,0.000162253,0.000100378,0.000273069,9.28E-05,0.000450056,0.000388923,0.000514116,0.000169108,0.000220695,0.000188912,0.000177361,0.000272427,0.0001071,0.000198216,0.000143147,0.000274242,0.000329357,9.80E-05,5.00E-05,0.000123039,0.00036878,0.000219284,9.61E-05,0.000103165,0.000167673,9.92E-05,8.05E-05,6.64E-05,8.36E-05,0.000403438,0.000415499,0.001605908,0.000105311
dLGC,0.000172743,0.000375952,8.76E-05,0.00018289,0.000260565,0.000104984,9.24E-05,0.000135224,0.00022566,0.000277535,0.000106912,0.000322075,0.00029099,0.000289287,0.000144615,0.000139154,0.000204156,0.00028408,0.000215555,0.000125746,0.000205835,0.000154191,0.00021673,0.000824124,0.00021552,0.000216619,0.000107557,0.000280489,0.000162033,0.000224302,0.000104454,9.67E-05,0.000111111,0.000132117,0.000231681,9.06E-05,0.000164,0.000738837,0.001224009,0.00020181
LPT,7.62E-05,0.000343167,6.49E-05,7.89E-05,0.00023629,8.08E-05,6.22E-05,0.000157624,0.000142775,0.000269531,7.38E-05,0.000275699,0.000183213,0.00032038,0.000121967,9.50E-05,0.000173042,0.000264258,0.000251521,5.71E-05,0.000292269,0.000165832,0.000418446,0.000694968,0.000133657,9.79E-05,8.78E-05,0.000134216,0.000156246,0.000153712,8.94E-05,0.000153066,0.000112183,0.000184602,0.000217944,0.000191163,0.000161938,0.000494576,0.001458602,0.000162626
