,HC1,HC2,HC3,HC4,HC5,HC6,HC7,HC8,SS1,SS2,SS3,SS4,SS5,SS6,SS7,SS8,MS1,MS2,MS3,MS4,MS5,MS6,MS7,MS8,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,MC1,MC2,MC3,MC4,MC5,MC6,MC7,MC8
AVPO,0.000372744,0.0007633,0.000535441,NA,0.001036109,0.000160418,0.000223448,0.000510568,0.000475483,0.000575141,0.000338615,0.000541685,0.000848875,0.000438749,0.000556196,0.000791426,0.000593989,0.000922068,0.000655151,NA,0.001293394,0.000664342,0.000605292,NA,0.000807351,0.000501793,0.000422718,0.000731208,NA,0.000487022,NA,0.000511348,0.000917349,0.000617131,0.000929418,0.000585808,0.000878501,0.000875406,0.002213918,0.000409433
AVPV,0.000308469,0.000656254,0.000359299,NA,0.001316525,1.65E-05,0.000188081,0.000351522,NA,0.000542504,0.000258522,0.000471249,0.000519095,0.000225833,0.000370577,0.000489481,0.00034185,0.000857408,0.000613226,NA,0.001033945,0.00078472,0.000562697,0.000692572,0.00159684,0.000358277,0.000476572,0.000465521,0.00046636,0.000459703,0.000424239,0.000431225,0.0005657,0.000472723,0.000571157,0.000368641,0.000380272,0.000680244,0.001662607,0.000464658
DMH,0.000489201,0.000934793,0.001624298,0.001100649,0.000952251,0.000324992,0.000739331,0.000365963,0.000499063,0.000970073,0.000892816,0.001169979,0.000492851,0.000615441,0.000813886,0.001095401,0.001264142,0.001754675,0.001556797,0.000651575,0.001406257,0.001388901,0.000922004,NA,0.000694304,0.00050418,0.000940455,0.000604417,0.000666181,0.000464547,NA,0.000664174,0.001554801,0.000970093,NA,0.000847092,0.000744577,0.001179371,0.00330515,0.001453745
MePO,0.00061841,0.000796646,0.000416669,0.000245695,0.000893664,0.000252405,0.000461766,0.00030882,0.00065569,0.000900855,0.000470631,0.001096198,0.000827519,0.000578902,0.00052216,0.000821249,0.000871031,0.001396551,0.000991914,0.001268643,0.001436634,0.001243492,0.000705797,0.001942986,0.000995665,0.001048624,0.000268926,0.000688427,0.000272599,0.000484015,NA,0.000732677,0.00143086,0.000933423,0.000774981,0.000853659,0.00076601,0.001203822,0.001414823,0.002285505
MPA,0.000340843,0.000820405,0.000391981,0.000547927,0.00084629,0.000284801,0.00047335,0.000505448,0.000550651,0.000677432,0.00042647,0.000699292,0.000769928,0.000552978,0.000578449,0.000735536,0.000637382,0.000921409,0.000634487,0.000944862,0.001207974,0.000939913,0.00051786,0.001016264,0.000721951,0.000484912,0.000532893,0.000880835,0.000721304,0.000456589,0.000291704,0.000579258,0.001009694,0.000791513,0.000742574,0.000592136,0.000662464,0.000942276,0.001927606,0.000711193
PSN,0.000364238,0.001074776,0.000637411,NA,0.001070118,0.000385445,0.000673885,0.000593158,0.000753322,0.000835825,0.000578758,0.000715488,0.000714118,0.000509977,0.000789458,0.000724514,0.000976418,0.001568851,0.00107969,NA,0.001721485,0.001304979,0.000540252,NA,0.000851858,0.000575939,0.000568968,0.001209434,NA,0.000575781,NA,0.000833594,0.00145922,0.001031064,0.000945543,0.000862914,0.000838428,0.001067068,0.002163943,0.001046469
SPZ,0.00134454,0.001254694,0.000982592,0.001826998,0.001291896,0.000441524,0.000941167,0.000613311,0.000769097,0.001145038,0.000979639,NA,0.000449474,0.000654989,0.0007766,0.001232281,0.000615027,0.001495535,0.00050781,0.001761735,0.001337937,NA,0.000666186,0.002100129,0.000869821,0.000570958,0.001061111,0.000711833,0.001225872,0.00047524,0.000685465,0.000944285,0.001936508,0.001369882,0.000811979,0.000764862,0.00051015,NA,0.002853449,0.001450749
SCN,0.001052823,0.001665064,0.001078209,0.002806482,0.00229824,6.91E-05,0.000527484,0.0001819,0.0006804,0.001366523,NA,NA,0.000235441,0.001814259,0.000962212,0.002317214,0.000107494,0.001786382,0.000684619,0.000513572,0.001124399,NA,0.0010744,NA,0.000532706,0.000441632,0.002274961,0.001363211,0.001601017,0.000637285,NA,0.000140795,0.002664016,0.001954434,NA,0.00053594,0.000346067,NA,0.003973699,0.001170739
AHN,0.000509294,0.000636615,0.000420917,0.00072795,0.000893707,0.000386302,0.00059071,0.000603567,0.000586151,0.000730737,0.000779983,0.000568233,0.000457698,0.000706236,0.000623118,0.000705549,0.000551387,0.000870637,0.000361532,0.000909305,0.001136466,NA,0.000626302,0.000948239,0.000580397,0.00036618,0.000725591,0.000731173,0.000778937,0.000410224,NA,0.000699145,0.001072758,0.000828967,0.000587088,0.000492867,0.000639389,0.001249116,0.002042651,0.000702999
SMN,0.000160374,0.000896609,0.000731854,0.000933341,0.00096713,NA,NA,0.000408017,0.000599875,NA,0.000703563,0.000524478,0.000451582,0.000570677,0.000459369,NA,0.000797627,0.000682828,0.00098923,0.001052973,0.000836275,0.000935789,NA,0.001471674,0.000381312,0.000561727,0.001055024,0.000801624,0.000711663,0.00046452,NA,0.000580174,0.001429594,0.000703338,0.000692733,0.000270161,0.001015888,0.000827952,NA,NA
MPO,0.000275142,0.000495158,0.000354248,0.000434635,0.000618696,0.000190729,0.000512671,0.000369214,0.00051137,0.000709428,0.000435853,0.000604571,0.000539531,0.000463512,0.000492392,0.000637456,0.000370933,0.000531946,0.000419637,0.000905258,0.001031741,NA,0.000444207,0.00085723,0.000382654,0.000201777,0.000428073,0.000738881,0.000633945,0.000300655,NA,0.000464335,0.000955949,0.000779219,0.000613083,0.000417728,0.000501597,0.000823261,0.001654959,0.000547845
VMHn,0.00022483,0.00050166,0.000519419,0.000556206,0.000995912,0.000119813,0.000313801,0.000409093,0.000333845,0.000539375,0.000304756,0.000418715,0.000539011,0.000508938,0.000338981,0.000512614,0.00023965,0.000371736,0.000419076,0.000283624,0.000702012,0.000490528,0.000200676,NA,0.000619714,0.000219061,0.000503791,0.000401772,0.000395299,0.000312358,NA,0.000277965,0.000389578,0.000280492,NA,0.000164305,0.000654439,0.000657479,0.002085773,0.000212483
PHn,0.000735115,0.00077714,0.00134904,0.001247917,0.001308383,0.00048118,NA,0.000400276,0.00054691,0.000941151,0.001089825,0.000996757,0.000461011,0.000930381,0.000830599,0.000984072,0.001224603,0.001508037,0.001444575,0.001111102,0.001498146,0.001518238,0.001058546,0.00178445,0.000900815,0.000778485,0.001232331,0.000970747,0.00109534,0.000648969,0.000681033,0.001042296,0.001625967,0.001211191,0.000894063,0.000810735,0.001022442,0.001268912,0.00296128,0.001289251
LHA,0.000287097,0.000547615,0.000578697,0.000529991,0.00064422,0.000304685,0.000446456,0.000612488,0.00046983,0.000482935,0.00042663,0.000574321,0.000374579,0.000612936,0.000486334,0.000487837,0.00055898,0.000669199,0.000482898,0.00042488,0.000722357,0.000750436,0.000450626,0.001048592,0.000424545,0.00033315,0.000487632,0.000691977,0.000700368,0.000455919,0.000346608,0.000490254,0.000757189,0.000670446,0.000444976,0.00040106,0.000608301,0.000980051,0.002088524,0.000494327
LPO,0.000194307,0.000610022,0.000434622,0.000391083,0.000557809,0.000215711,0.000403582,0.000444274,0.000524879,0.000580433,0.000323505,0.000454491,0.000676019,0.000522685,0.000460346,0.000603347,0.000484749,0.000682802,0.000504727,0.000734185,0.000901691,0.000467219,0.000372727,0.0010333,0.000399857,0.00037728,0.000444615,0.000829307,0.000700762,0.000428303,0.000175891,0.00047962,0.000833082,0.000768952,0.000470186,0.000551877,0.000716744,0.000949476,0.001750771,0.000547932
PSTN,0.000334152,0.000695247,0.000821667,0.00048912,0.000792304,0.0003229,NA,0.000427955,0.000450173,0.000453326,0.000362693,0.000633104,0.000329083,0.000682234,0.000427759,NA,0.000647951,0.000621785,0.000570134,0.000411963,0.000746542,0.001002369,0.000720439,0.000947772,0.000423739,0.0003896,0.000596963,0.000815874,0.000756519,0.000596385,0.000420672,0.000527373,0.00089743,0.000765646,0.00066019,0.000395611,0.000628199,0.000883145,0.002024214,0.000758925
STN,0.000218808,0.000478012,0.000558035,0.000242259,0.000675425,8.97E-05,0.000124265,0.000463686,0.000281472,0.000425974,0.00020254,0.001004984,0.000296464,0.000626318,0.000177318,0.000630876,0.000532972,0.000516593,0.000414568,0.00017415,0.000722299,0.000858317,0.000355174,NA,0.000329064,0.000313501,0.000625842,0.000842907,0.000785785,0.000421274,0.000223493,0.000204003,0.001088895,0.000779407,NA,0.000503132,0.000563324,0.000877521,0.001175344,0.001257919
TN ,0.00011574,0.000213764,0.00036769,0.000331311,0.000611903,0.000125418,0.000236169,NA,0.000233255,0.000445065,0.000225864,0.000371585,0.00027229,0.000341918,0.000256295,0.000450471,0.000124418,0.000320364,0.00038475,0.000200794,0.000525223,0.000357815,NA,NA,0.000258642,0.000130169,0.000356171,0.000412216,0.000312632,0.000203446,NA,0.000182326,0.000350658,0.000149508,NA,0.000141602,0.000401459,0.000484342,0.001264073,0.000158526
ZI ,0.000517776,0.000712612,0.000488585,0.000561221,0.000755996,0.000351029,0.000649447,0.000325254,0.000370921,0.000551022,0.000401815,0.000584725,0.000349153,0.000726368,0.000431748,0.000551906,0.000583864,0.000705222,0.000528038,0.000431797,0.000701175,0.000522055,0.000619107,0.001096597,0.000460906,0.000356659,0.000434042,0.000748495,0.000689152,0.000562748,0.000408728,0.000606562,0.000815879,0.000830202,0.000378951,0.000513229,0.000496769,0.001004736,0.001821536,0.000695084
FF,0.000386239,0.000561039,0.000398264,0.000566627,0.000582344,0.000145842,NA,0.000253322,0.00030033,0.000329953,0.000202527,0.000594483,0.000265375,0.000639055,0.000464307,NA,0.000362085,0.000526338,0.000430552,0.000539281,0.000365654,NA,0.000684044,NA,0.000313304,0.00024687,0.000428197,0.000728205,0.000622786,0.000609207,0.000277337,0.00052064,0.000815247,0.000850604,0.000263665,0.000339191,0.000608608,0.000905492,NA,0.000675774
SCO,0.000131165,0.000284667,6.15E-05,0.00010161,0.001215203,1.78E-05,NA,2.19E-05,9.31E-05,0,0.000153922,5.08E-05,9.93E-05,0.000201061,8.14E-05,NA,4.50E-05,9.93E-05,0.000421552,0.000116563,1.38E-05,0.000343135,0.000279894,NA,0.00021565,0.000169878,0.000149295,0.000221127,3.20E-05,0.000163165,NA,7.92E-05,2.97E-05,7.38E-05,0.000154626,5.14E-05,0.000124652,0.000135289,0.000258599,0.000188281
reSN,1.11E-05,0.000224611,0.000120155,0.000120572,0.000390967,0.000104372,7.78E-05,0.000190901,0.000137485,0.000446691,6.98E-05,0.000119474,0.000332849,0.000422048,0.000175984,9.36E-05,0.000398293,0.000365916,0.000346397,0.000123852,0.000268718,0.000120868,0.000111034,0.000457889,0.000138566,8.06E-05,0.000190223,0.000440296,0.000197749,0.00014808,0.000181525,8.78E-05,0.000225698,0.0002235,6.22E-05,3.29E-05,0.000495252,0.000242389,0.00117995,NA
VTA,7.83E-05,0.00047571,0.000359797,0.000400303,0.000654357,0.000205298,0.000175525,0.000111267,0.000270449,0.000388708,0.000185958,0.001305857,0.000337234,0.000760835,0.000280982,0.00022821,0.000353142,0.00042312,0.00071172,0.000227341,0.000322852,0.000416365,0.000423961,0.000787523,0.000242572,0.000174952,0.000380963,0.000594795,0.000308167,0.00029662,NA,0.00028753,0.000418549,0.000136578,8.60E-05,7.98E-05,0.000768299,0.000496312,0.001839838,NA
PAG,0.000643398,0.000700739,0.000699565,0.000662035,0.001004644,0.000372907,0.000637441,0.000320209,0.000359706,0.000711859,0.000515706,0.000584991,0.00041923,0.000926748,0.000661266,NA,0.000766068,0.00085596,0.000783192,0.001021386,0.000913732,0.00078061,NA,0.001067982,0.000500747,0.000536952,0.000988214,0.000835715,0.000806966,0.000525838,NA,0.000790926,0.000877812,NA,0.000437708,0.000523168,0.001031098,0.001110585,0.001709962,0.000985726
PreCN,0.000801691,0.000921593,0.000573729,0.000836054,0.001112493,0.000474026,NA,0.000358839,0.000390252,0.000408249,0.000544276,0.00045629,0.000338709,0.000702337,0.000444488,NA,NA,0.000337735,0.000950081,0.000627805,0.001238814,0.001264203,0.00099519,NA,0.000553893,0.000513378,0.000526763,0.000775057,0.000664733,0.000386026,0.000705312,0.000577529,0.000773904,0.000784457,0.00072637,0.000630454,0.000556807,0.00084419,0.001392195,0.000577052
APTN,0.000259279,0.000525241,0.000404131,0.000268613,0.000393196,9.45E-05,NA,0.000179779,0.000205403,0.000428213,0.000166485,0.000359623,0.000420316,0.000776359,0.000431593,0.000288559,0.000285227,0.000460321,0.000329603,0.000341611,0.000418708,0.000361378,0.000546086,0.000967992,0.000233702,0.000217529,0.000298885,0.000532126,0.000610277,0.000531146,NA,0.000442326,0.000713781,0.000547917,0.000192894,0.000279336,0.000802111,0.001014855,0.001957149,0.000515891
cSN,2.26E-05,0.0002988,0.000173432,0.000387084,0.000406525,5.38E-05,0.000130305,0.000137069,0.000126529,0.000431087,0.000144058,0.000292243,0.000379591,0.000528579,0.000130333,0.000151927,0.000466289,0.0003693,0.000478493,0.000224391,0.000296469,0.000231625,0.000153735,0.00059743,0.000141487,0.000150447,0.000228776,0.000661813,0.000230364,0.000235533,0.00019183,0.000191658,0.000268521,0.000251987,7.44E-05,5.92E-05,0.000606624,0.00040603,0.001646603,NA
