NACC;18974;22092599.21;
NACC SHELL;11484;13651236.79;0.000841242
NACC CORE ;7490;8441362.422;0.000887298
;;;
;;;
;;;
;;;
;;;
caudatoputamen;100492;149603119.5;
DlS+ 31;76853;118469778.3;
DLS 31;294;785916.5003;
DLS;76559;117683861.8;0.000650548
DMS;23933;31919257.75;0.000749798
