"","lower","r","upper","p"
"AuA-MDT",-0.761451246314362,-0.122518649430769,0.637164218484841,0.772566061546655
"ViA-MDT",-0.580547005612942,0.210060977928159,0.796789683581456,0.617568627264193
"dACC-MDT",-0.513756541928925,0.299256210064907,0.829092068612635,0.47149418932172
"Vacc-MDT",-0.712549405067552,-0.0158198483120654,0.696618860984893,0.970342733037655
"PL-MDT",-0.614919653218041,0.158383632625958,0.77640323748897,0.707959704731163
"IL-MDT",-0.653851600216266,0.0942447318488437,0.749164372360065,0.824334699950552
"OA-MDT",-0.449039561396149,0.373965913761383,0.853675225967595,0.361445281448553
"AU-MDT",-0.328958547544511,0.489089277694269,0.887787904035895,0.218705638741906
"RS-MDT",-0.548794501591301,0.254171971372578,0.813195069897487,0.543555213371759
"AA-MDT",-0.573750966565462,0.219780847108525,0.800480472513411,0.600988874501046
"TeAA-MDT",-0.882009114611255,-0.468558204392272,0.352504887075991,0.241572100470209
"Prh-MDT",-0.862431825837842,-0.402171582438817,0.422133831985515,0.323292944943757
"Ech-MDT",-0.875877553196576,-0.447251424067269,0.375888891865605,0.266524311019211
"aOn-MDT",-0.5840141100732,0.301754662142496,0.859500836750028,0.510726082346677
"TT-MDT",-0.552573478499531,0.249091643755506,0.811349844649599,0.551912688459709
"DPA-MDT",-0.638360782196066,0.120531502282237,0.760602444079261,0.776182721967556
"PC-MDT",-0.883982697388954,-0.475520153258882,0.344635301470101,0.233687634100871
"CCA-MDT",-0.842687652869813,-0.33978641116109,0.479759249339342,0.41023946309114
"PAA-MDT",-0.884301185701159,-0.476648457797582,0.343348950241274,0.232422394722959
"CA1-MDT",-0.729358267532983,-0.050788596910206,0.678155059853131,0.904935014380859
"CA2-MDT",-0.851105778147502,-0.36585456374267,0.456510278340316,0.372776580846154
"CA3-MDT",-0.766286171017931,-0.13393633453098,0.630217330567504,0.751856554826591
"DG-MDT",-0.957259764061062,-0.776127664007976,-0.15770753289289,0.023551618147189
"FC-MDT",-0.642868049294764,0.112991229194741,0.757361616737563,0.789937740112429
"IG-MDT",-0.801993210742461,-0.223798308205522,0.570909713498907,0.594179005330021
"lpEC-MDT",-0.91299640324795,-0.584134486374345,0.204866263600376,0.128387511831814
"Sub-MDT",-0.858087933126613,-0.388069520198452,0.435769974014186,0.342122249680609
"proSb-MDT",-0.772167015771871,-0.045659010949108,0.732588333980431,0.922567627889851
"Clst-MDT",-0.424864543724108,0.39937854335611,0.861576829636869,0.32698267360628
"dEPn-MDT",-0.595163042979435,0.18861349643369,0.788487853815503,0.654647597787333
"vEPn-MDT",-0.780101901682249,-0.167514477726849,0.609052822879143,0.691736690523119
"LAn-MDT",-0.886867930901804,-0.485790928087257,0.33281114986403,0.222300364716869
"BLA-MDT",-0.76210471765372,-0.124052001830364,0.636238398019231,0.769777759586008
"BMe-MDT",-0.826217583128702,-0.290925046386323,0.520442172868946,0.484512941984931
