"Node_Removed","CI_Value"
"LAn",1128
"AU",804
"PT",725
"APTN",610
"CCA",540
"FP",375
"SFn",300
"AuA",266
"AVT",266
"RE",246
"AA",238
"M2",235
"MGC",222
"ZI",192
"LSN",168
"IADT",138
"IAn",122
"VTA",116
"MAn",93
"PlnT",88
"XiT",54
"ADPO",50
"CA1",32
"PSN",27
"VA",20
"MHb",9
"cSN",7
"CA3",6
"PAA",5
"Vacc",3
