png_finale, scala_png
F38_s001.png, 0.9944
F38_s002.png, 1.05582
F38_s003.png, 1.06061
F38_s004.png, 1.06446
F38_s005.png, 1.09003
F38_s006.png, 1.08969
F38_s007.png, 1.06263
F38_s008.png, 1.07559
F38_s009.png, 1.06074
F38_s010.png, 1.10974
F38_s011.png, 1.09482
F38_s012.png, 1.07748
F38_s013.png, 1.06558
F38_s014.png, 1.06995
F38_s015.png, 1.05501
F38_s016.png, 1.12689
F38_s017.png, 1.06098
F38_s018.png, 1.11671
F38_s019.png, 1.13193
F38_s020.png, 1.06612
F38_s021.png, 1.06556
F38_s022.png, 1.09002
F38_s023.png, 1.06637
F38_s024.png, 1.0791
F38_s025.png, 1.06048
F38_s026.png, 1.26524
F38_s027.png, 1.2429
F38_s028.png, 1.26552
F38_s029.png, 1.07886
F38_s030.png, 1.23619
F38_s031.png, 1.24454
F38_s032.png, 1.23079
F38_s033.png, 1.23772
F38_s034.png, 1.23685
F38_s035.png, 1.24185
F38_s036.png, 1.24189
F38_s037.png, 1.23084
F38_s038.png, 1.23032
F38_s039.png, 1.24023
F38_s040.png, 1.25162
F38_s041.png, 1.23529
F38_s042.png, 1.23714
F38_s043.png, 1.23116
F38_s044.png, 1.24421
F38_s045.png, 1.22472
F38_s046.png, 1.24325
F38_s047.png, 1.22819
