"","lower","r","upper","p"
"CMT-LPO",-0.853039236649849,-0.371951336020894,0.450905831152356,0.364244858136752
"PCn-LPO",-0.896215958063191,-0.440353846306515,0.467848434459955,0.322753205484832
"CLT-LPO",-0.891476869971678,-0.421153124135166,0.48606038551702,0.346710911599799
"RT-LPO",-0.628570832938224,0.136613049058767,0.76740938154754,0.74701972205941
"IGLLG-LPO",-0.402446580554767,0.421864159152666,0.868386425386609,0.297842670191891
"vlLGC-LPO",-0.112985601003119,0.642871394160866,0.927413128570455,0.0855496923256387
"subGn-LPO",0.420034789530232,0.867838637247549,0.975780452079402,0.00521412208591225
"MHb-LPO",-0.347887604259645,0.47265535573037,0.88317233954988,0.236915891288895
"LHb-LPO",0.106600979106812,0.75458999446482,0.952683706827546,0.030483043982664
"SON-LPO",-0.677163345214469,0.154869368503106,0.813099261158843,0.740227156545842
"PVH-LPO",-0.580505521310319,0.210120787737462,0.7968125289752,0.617466165006693
"IPVH-LPO",-0.351938183337656,0.545763599965437,0.92050272511062,0.205062833773664
"ArH-LPO",-0.89019321204437,-0.283303538132862,0.685976123268401,0.58641379052445
"ADPO-LPO",0.299957474238289,0.85898369974433,0.978855073495196,0.013274073984259
"AVPO-LPO",-0.293261650135101,0.518577068217937,0.895873450879634,0.187925446713418
"AVPV-LPO",-0.439260850676318,0.38439626363131,0.856945298987319,0.347108010159806
"DMH-LPO",-0.654012842795718,0.195166807466523,0.826720234333861,0.674948426160063
"MePO-LPO",-0.59880973320044,0.183143229648963,0.786334865901193,0.664207789058147
"MPA-LPO",-0.0735807482766751,0.665603987433418,0.932774697592391,0.0716041996819322
"PSN-LPO",0.0929172266160372,0.748576190151278,0.951389727926086,0.0326179755556348
"SPZ-LPO",-0.787700749426033,-0.0851556410812682,0.713667957654154,0.85595887739969
"SCN-LPO",-0.903121067465056,-0.342841060056734,0.649409726734181,0.505887177722063
"AHN-LPO",-0.486730625046124,0.331716323442074,0.84003078489928,0.422151558346942
"SMN-LPO",-0.837117726415115,-0.0797075564007426,0.782469788491452,0.880691868190619
"MPO-LPO",-0.359550279511401,0.46223765288312,0.880204705960068,0.248845325386715
"VMHn-LPO",-0.813073772931287,-0.154795960697649,0.67720406603868,0.740347323136815
"PHn-LPO",-0.404866214454441,0.419485076930178,0.86767381779918,0.300864324630024
"LHA-LPO",-0.563053720598892,0.23476767727673,0.806086197757261,0.575717446025433
