"","lower","r","upper","p"
"ZI-OT",-0.888511714900838,-0.491692372745492,0.325898681943371,0.215890071685773
"FF-OT",-0.599219441298429,0.280342312050946,0.853264331420427,0.542555386483
"TN-OT",-0.14099956130311,0.684767782166792,0.9486405065852,0.0896301069915032
"reSN-OT",-0.693382142344289,0.0220785186454599,0.71561776964972,0.95861622859299
"cSN-OT",-0.314156131599381,0.50154819206986,0.891234425182658,0.20540176296935
"VTA-OT",-0.618165670493509,0.153274211623098,0.774314801725232,0.717080215767927
"PAG-OT",-0.73960574010735,-0.0729560630034631,0.665953650884394,0.863692000555748
"SCO-OT",-0.630881537883595,0.232757383401053,0.838792144081973,0.615474826740087
"PreCN-OT",-0.885391070479536,-0.397099260802564,0.507815351255031,0.377732961634634
"APTN-OT",-0.679682427814899,0.150310833074087,0.811511670860071,0.747697244058964
"FP-MGCn",-0.324025104579465,0.567511280649171,0.925177312856316,0.183895749663388
"PL-MGCn",-0.807410201991282,-0.138662777587948,0.68603151744896,0.766855288534756
"IL-MGCn",-0.891601351470359,-0.421652134902569,0.485596839379168,0.346079083241712
"dACC-MGCn",-0.457161675903138,0.365141335449607,0.850878730041417,0.373780451988389
"Vacc-MGCn",-0.675203121679152,0.0562183487198747,0.731896784642245,0.894812483373971
"OA-MGCn",-0.357289985798868,0.541450993504057,0.919562822738467,0.209391968735907
"AU-MGCn",-0.591911375204971,0.193450526627297,0.790379443745177,0.646228065097629
"M2-MGCn",-0.386311821108333,0.437443500266425,0.873007773390498,0.278421409752772
"M1-MGCn",-0.380380223522795,0.443049238050537,0.874651702974859,0.271590162522873
"S1-MGCn",-0.605151646210508,0.173513212464984,0.782508746711988,0.681133665138585
"SS-MGCn",-0.698037539165567,0.0130589148043587,0.711187310046561,0.975517318356131
"GA-MGCn",-0.614694600837382,0.158736349633058,0.776546908711463,0.707331196407355
"AuA-MGCn",-0.840326022709467,-0.332609432575126,0.485964205726977,0.420826113929293
"RS-MGCn",-0.622611808870032,0.146208141205745,0.771404135436524,0.729741512046234
"AA-MGCn",-0.519439424665011,0.292182493837524,0.826653231193269,0.482539020904767
"ViA-MGCn",-0.802252987394265,-0.224490193620457,0.570418465143145,0.593008798644601
"TeAA-MGCn",-0.895323207757519,-0.51654147529582,0.295800820150572,0.189971285216754
"Prh-MGCn",-0.938121583351011,-0.68877905704119,0.0308837120027364,0.0588654343373195
"lpEC-MGCn",-0.974898145244438,-0.863296133438579,-0.40500377333224,0.00574986615230019
"Ech-MGCn",-0.871476400637543,-0.43225185556589,0.391745149194233,0.284822406146019
"VA-MGCn",-0.7493230808071,-0.0946033303150813,0.653644414635456,0.823674263993428
"aOn-MGCn",-0.832233572208402,-0.212107570298366,0.64378129062839,0.647960089437629
"TT-MGCn",-0.902565873076689,-0.46675164651183,0.441484254661479,0.291031986565369
"DPA-MGCn",-0.949979603786315,-0.691899043377082,0.127691434927914,0.0850090920934982
"PC-MGCn",-0.601037867893303,0.179776883456158,0.785002616609613,0.670110847720845
"PAA-MGCn",-0.0529981668503594,0.676956636949175,0.935408721823712,0.0651794027765271
"FC-MGCn",0.463752574376658,0.880638293803857,0.978247827666764,0.00387992247313114
"IG-MGCn",-0.923341612916691,-0.625936988772574,0.140871787608994,0.0968868616728924
"CA1-MGCn",-0.853255509493751,-0.372635899839188,0.450272469149126,0.363292451611082
"CA2-MGCn",-0.576999197325076,0.215154716845067,0.798729332394845,0.608861816897074
"CA3-MGCn",-0.836833449190387,-0.322102238860111,0.494901904496509,0.436530707228751
"DG-MGCn",-0.707620051196043,-0.00587826479544309,0.701701288657618,0.988978507402843
"proSb-MGCn",-0.864093638320036,-0.407624887727853,0.416758750917386,0.316145814168237
