png_finale, scala_png
F72_s001.png, 1.24231
F72_s002.png, 1.15823
F72_s003.png, 1.13905
F72_s004.png, 1.16625
F72_s005.png, 1.14025
F72_s006.png, 1.12831
F72_s007.png, 1.23972
F72_s008.png, 1.14306
F72_s009.png, 1.27547
F72_s010.png, 1.14238
F72_s011.png, 1.16305
F72_s012.png, 1.17272
F72_s013.png, 1.16351
F72_s014.png, 1.15703
F72_s015.png, 1.15421
F72_s016.png, 1.15828
F72_s017.png, 1.14583
F72_s018.png, 1.14113
F72_s019.png, 1.14235
F72_s020.png, 1.16769
F72_s021.png, 1.15093
F72_s022.png, 1.16134
F72_s023.png, 1.1558
F72_s024.png, 1.16869
F72_s025.png, 1.15164
F72_s026.png, 1.22168
F72_s027.png, 1.14988
F72_s028.png, 1.15887
F72_s029.png, 1.23581
F72_s030.png, 1.14617
F72_s031.png, 1.27564
