PL,0.991150442
DPA,0.982300885
PHn,0.973451327
MSn,0.96460177
BMe,0.955752212
LAn,0.938053097
LPT,0.92920354
VALCT,0.477876106
lpEC,0.469026549
OT,0.460176991
M1,0.451327434
FP,0.442477876
XiT,0.380530973
AVPV,0.371681416
PSTN,0.362831858
CA1,0.318584071
OA,0.318584071
PVH,0.292035398
ADPO,0.283185841
PSN,0.256637168
FStr,0.221238938
SubInn,0.212389381
VMHn,0.203539823
PlnT,0.194690265
MGCn,0.194690265
AU,0.194690265
GA,0.194690265
Clst,0.194690265
PreCN,0.185840708
