png_finale, scala_png
F82_s001.png, 1.04645
F82_s002.png, 0.96687
F82_s003.png, 1.03112
F82_s004.png, 1.03064
F82_s005.png, 1.03212
F82_s006.png, 1.03239
F82_s007.png, 1.02869
F82_s008.png, 1.04017
F82_s009.png, 1.0402
F82_s010.png, 1.19919
F82_s011.png, 1.0378
F82_s012.png, 1.03323
F82_s013.png, 1.04453
F82_s014.png, 1.02921
F82_s015.png, 1.21867
F82_s016.png, 1.19154
F82_s017.png, 1.2227
F82_s018.png, 1.20201
F82_s019.png, 1.18946
F82_s020.png, 1.20185
F82_s021.png, 1.21
F82_s022.png, 1.18895
F82_s023.png, 1.19647
F82_s024.png, 1.194
F82_s025.png, 1.20505
F82_s026.png, 1.22798
F82_s027.png, 1.19653
F82_s028.png, 1.20357
F82_s029.png, 1.18882
F82_s030.png, 1.19448
F82_s031.png, 1.21883
F82_s032.png, 1.20349
F82_s033.png, 1.21479
F82_s034.png, 1.22304
F82_s035.png, 1.21329
F82_s036.png, 1.19456
F82_s037.png, 1.2352
F82_s038.png, 1.19625
F82_s039.png, 1.20952
F82_s040.png, 1.26352
