png_finale, scala_png
F62_s001.png, 1.41651
F62_s002.png, 0.86291
F62_s003.png, 1.46054
F62_s004.png, 0.8642
F62_s005.png, 1.32593
F62_s006.png, 1.43306
F62_s007.png, 1.28349
F62_s008.png, 1.34289
F62_s009.png, 1.28271
F62_s010.png, 1.31912
F62_s011.png, 1.32046
F62_s012.png, 1.25758
F62_s013.png, 1.26043
F62_s014.png, 1.30852
F62_s015.png, 1.26762
F62_s016.png, 1.2434
F62_s017.png, 1.28291
F62_s018.png, 1.37153
F62_s019.png, 1.3001
F62_s020.png, 1.32842
F62_s021.png, 1.26427
F62_s022.png, 1.36711
F62_s023.png, 1.37299
F62_s024.png, 1.364
F62_s025.png, 1.31602
F62_s026.png, 1.35786
F62_s027.png, 1.59842
F62_s028.png, 1.37929
F62_s029.png, 1.33224
F62_s030.png, 1.48837
F62_s031.png, 1.34401
F62_s032.png, 1.45982
F62_s033.png, 1.41589
F62_s034.png, 1.4968
F62_s035.png, 1.36137
F62_s036.png, 1.35122
F62_s037.png, 1.55031
