png_finale, scala_png
HCrifatti25%_s001.png, 0.88000
HCrifatti25%_s002.png, 0.88000
HCrifatti25%_s003.png, 0.88000
HCrifatti25%_s004.png, 0.88000
HCrifatti25%_s005.png, 0.88000
HCrifatti25%_s006.png, 0.88000
HCrifatti25%_s007.png, 0.88000
HCrifatti25%_s008.png, 0.88000
HCrifatti25%_s009.png, 0.88000
HCrifatti25%_s010.png, 0.88000
HCrifatti25%_s011.png, 0.88000
HCrifatti25%_s012.png, 0.88000
HCrifatti25%_s013.png, 0.88000
HCrifatti25%_s014.png, 0.88000
HCrifatti25%_s015.png, 0.88000
HCrifatti25%_s016.png, 0.88000
HCrifatti25%_s017.png, 0.88000
HCrifatti25%_s018.png, 0.88000
HCrifatti25%_s019.png, 0.88000
HCrifatti25%_s020.png, 0.88000
HCrifatti25%_s021.png, 0.88000
HCrifatti25%_s022.png, 0.88000
HCrifatti25%_s023.png, 0.88000
HCrifatti25%_s024.png, 0.88000
HCrifatti25%_s025.png, 0.88000
HCrifatti25%_s026.png, 0.88000
HCrifatti25%_s027.png, 0.88000
HCrifatti25%_s028.png, 0.88000
HCrifatti25%_s029.png, 0.88000
HCrifatti25%_s030.png, 0.88000
HCrifatti25%_s031.png, 0.88000
HCrifatti25%_s032.png, 0.88000
HCrifatti25%_s033.png, 0.88000
HCrifatti25%_s034.png, 0.88000
HCrifatti25%_s035.png, 0.88000
