animale;FP;M1;M2;S1;SS;GA;VA;AuA;ViA;dACC;Vacc;PL;IL;OA;AU;RS;AA;TeAA;Prh;Ech;aOn;TT;DPA;PC;CCA;PAA;CA1;CA2;CA3;DG;FC;IG;lpEC;Sub;proSub;Clst;dEPn;vEPn;LAn;BLA;BMe;PAn;DLS;DMS;NACC SHELL;NACC CORE;FStr;OT;LSN;SFn;aAA;CA;IAn;MAn;Gpe;Gpi;SubInn;MGCn;MSn;DBn;TnS;BNST;VALCT;VMT;VPLT;VPMT;PTTn;MGC;dLGC;LPT;PCT;PlnT;EnT;AVT;AMn;IADT;IMDT;MDT;SMT;pRE ;PVT;PT ;RE;XiT;Rh;CMT;PCn;CLT;RT;IGLLGC;vlLGC;subGn;MHb;LHb;SON;PVH;IPVH;ArH;ADPO;AVPO;AVPV;DMH;MePO;MPA;PSN;SPZ;SCN;AHN;SMN;MPO;VMHn;PHn;LHA;LPO;PSTN;STN;TN ;ZI ;FF;SCO;reSN;VTA;PAG;PreCN;APTN;cSN;
F106;0.0025027312811168713;0.002166773685766586;0.0021425290066058563;0.002379603199928739;0.00220715739565491;0.0018170067799481234;0.0016838645401155206;0.002144678102537358;0.0025403682654952992;0.0020489608543107518;0.001740612831105091;0.0019517538239324712;0.0016374739533802929;0.0024431576222206227;0.0016764933785610341;0.002007947282020062;0.002466707090537008;0.002095920960397359;0.0018703048348086113;0.002142362932792614;0.002136928531390864;0.0015904019029375428;0.0017476786685301558;0.0017507560516988967;0.0016829043516944431;0.0015224997627707243;0.0015692493977561748;0.001415412432993947;0.0013959361192145672;0.001012703196620635;0.0011876298535030928;0.0006876522441897445;0.002021462380553123;0.0016567201530321364;0.0017276216724352066;0.002054290056008112;0.0018758383850350153;0.0016015690761987749;0.0017962316316749104;0.0020087793539085657;0.002036401551868013;0.0021209556652923164;0.0015562897147263766;0.0018869406865980693;0.0020485795274906367;0.0022279113523373407;0.0013835683890326708;0.0015436707054591028;0.0016866088055849883;0.0009077811058546858;0.0017006282400117098;0.0016106931739649157;0.0020299587989356764;0.0016676074231764064;0.0011365678840773153;0.0007604028405473344;0.0020133661229948334;0.0021466827567093723;0.0025236685062830634;0.002119916930611615;0.00026438184353997263;0.0013820654537631749;0.0016965939829338462;0.001866474560702619;0.0014764395967064132;0.002176144166021042;0.0016231413234952187;0.0016059083336830268;0.0012240089093228216;0.001458601986438921;0.0023302108317959495;0.0019635763571203614;0.002407509774385956;0.0013533446301772735;0.0020261109982635515;0.001882872125917014;0.0024098421987100646;0.002031167109576243;0.0018240805708906562;0.0021282932444264646;0.0015120841812502031;0.0016286323575992606;0.001986695023813609;0.0023050628219808103;0.002459182470603833;0.002409627602188455;0.0022514855317169874;0.0022553283638919726;0.0015407418965230554;0.0017733081425555153;0.0014812805810849967;0.0013656796332488779;0.0005773105057172407;0.0019588393345133836;0.0009138820425938602;0.001963373834250888;0.0015418266809809431;0.0019321140420654386;0.002053286448713905;0.002213917694876488;0.001662606972265643;0.0033051496084270274;0.0014148230507559968;0.0019276062873724263;0.0021639427883063745;0.0028534485764284043;0.003973699388372162;0.0020426508006693403;NA;0.0016549587284098097;0.002085772698956564;0.002961279574153361;0.002088523544110934;0.0017507711811613068;0.002024214010978821;0.001175344269455755;0.0012640727713895208;0.0018215355633423608;NA;0.0002585989472402402;0.0011799497652639807;0.0018398384470256343;0.001709961837752257;0.0013921947723926319;0.001957149449864281;0.001646603219604715;
F64;0.0008945024311718652;0.0008934050619603852;0.0009205451382753619;0.0015322507575913408;0.001106669802982228;0.001022884370422571;0.0008214349683786291;0.0009719438851383576;0.0015908901011203013;0.0012771468151449032;0.0012523233595614297;0.0013841959690694475;0.0009703720202062345;0.0016742009825886153;0.0007629384397612673;0.0012285441024293873;0.001401395320532172;0.0006783275351701652;0.0005479743618199277;0.0007252228849405456;0.0013612517349762337;0.0007396669824861219;0.0009936801399822567;0.0009623290242397331;0.0005823610699846017;0.00047757623823186285;0.0004972390288952818;0.00024442537634386904;0.0004229042797373612;0.00019442043144735706;0.0004446110533742227;0.00011664574198690552;0.00032019286840515525;0.0004036926032381206;0.0006889419122920987;0.0012781865847625758;0.000761797796441107;0.0004491526260230568;0.000267858485606348;0.0005563905987642012;0.000598808316795344;0.00039321414967783563;0.0005906290883990424;0.0013244114858360218;0.0008683594935304102;0.0017187481201953385;0.0004816166877383323;0.0005747399852255404;0.0009871000821065194;0.0005961998929526202;0.0007969538893557674;0.0004984062658407925;0.0007631481998871811;0.00045304572063464864;0.0001657036229000945;0.0003957433889078529;0.00038018816579673073;0.0006117850141617863;0.0007956118123230365;0.0005386558164552208;0.0005002898554532143;0.0007496838463015471;0.0001590531809927268;0.0004667257679323774;5.971340849482897e-05;5.5256968479354446e-05;0.00029146050022017014;9.915085103374896e-05;0.00011111059385202104;0.00011218258598467173;5.832104731324545e-05;0.00046318478191682773;0.00030399469873597276;0.0004364701667501958;0.0007830176075837933;0.0009318948997363197;0.0010681506183764932;0.00045172106095022597;0.00026800998935619873;0.0013171187395393485;0.0014387905800049175;0.0010462038114115062;0.0008295908307051364;0.0012765532519297645;0.0013294478432268329;0.0013182416360305836;0.0004937250596585492;0.0005867171723310408;0.0004086210526358342;0.0011099215914727398;0.0008243521296831222;0.00019288624771286912;0.00036507962482598943;0.0009910739350693983;0.0002742874179632355;0.002178454388195234;0.0008279350366092997;0.0004227759366610528;0.0015438440473996599;0.0009173485763746193;0.000565699819139757;0.0015548006971968075;0.0014308598361635365;0.0010096940189697505;0.0014592202639592984;0.0019365084838924543;0.0026640159920696105;0.0010727578913582283;0.0014295944828727238;0.0009559486961896347;0.00038957785950961577;0.0016259670300580384;0.0007571892783200574;0.0008330821915317079;0.0008974303385367003;0.0010888952491986473;0.0003506578381976426;0.0008158791494789755;0.0008152474339147157;2.9650806093141753e-05;0.0002256977294525243;NA;0.0008778124037627591;0.0007739044067852425;0.0007137805898866256;NA;
F66;0.0012827853614317604;0.001076119000684317;0.0010983555859236042;0.001700673362597191;0.0013569752740369126;0.0010237536820061409;0.0010225651754192577;0.0012822911813801469;0.0014898871737969925;0.0013034598556779806;0.0014123369919494715;0.0017202348676938696;0.001583244317810399;0.0015443519083731126;0.0009296137566737256;0.0010385326345057463;0.00152436300754922;0.0011081652303620339;0.0010323831433587426;0.0012782511608942133;0.001633980439350055;0.0010833156962492664;0.001434202782762799;0.000892465239195515;0.00042694382530583327;0.00047549739247607526;0.0004608052398628137;0.00032417372572563034;0.0003625174243376254;0.00024247780122536508;0.00037992436136103313;0.00022685449472135776;0.0006763073175925152;0.00020086925672656763;NA;0.0014380686809655951;0.0009594549373265385;0.0005183515034912927;0.0003853313361657422;0.0006626750138239786;0.0007198286678725844;0.00039965293231388616;0.000618671601200109;0.0013003443571973682;0.0010205445858674873;0.0017336841493277209;0.0005320600741326147;0.00042106726242340073;0.0009499146838453275;0.00034917036450143494;0.0008463690204269235;0.0007043116329075037;0.0008819407449951145;0.0006627464700734621;0.00018635790635015943;0.0004081620794640884;0.0003947208686391243;0.00042064542384450754;0.0005290787661965949;0.0005147525337132358;0.00018698001389614373;0.0007229927741767791;0.00024355817161068806;0.0005084289415760655;0.0001316508364796892;0.00015452337442486356;NA;8.05422488951768e-05;0.00013211686748217837;0.0001846020028262235;0.00011716495257033173;0.0003505129463432349;0.0003474274415985027;0.000448120123028772;0.0006802312095805841;0.0009478300064341347;0.001168336700574857;0.0005882357839867377;0.00031844274966675115;0.0008702646416612409;0.0012482652814280518;0.0007067219023657319;0.0007077663348730627;0.0010406444186294073;0.0011055101421828045;0.0010529152539913245;0.0003788654635328713;0.0005490033814367148;0.0003124921381129166;0.0011760210689356933;0.0008914549108309542;0.0003541591197570313;0.0003465378572205043;0.000734595915153146;0.0002793506895512278;0.0013757048271683594;0.000673382585010026;NA;0.0013752871807715047;0.0006171313643964197;0.0004727232512245032;0.0009700932972913147;0.0009334227253200187;0.0007915128452027829;0.0010310641286127315;0.0013698821522233732;0.0019544335979368352;0.000828966574009074;0.0007033378175599478;0.0007792193889011489;0.00028049230091091145;0.0012111909020160925;0.0006704458425964947;0.0007689520014120235;0.0007656460784063231;0.0007794067570655959;0.00014950804811661358;0.0008302018120473637;0.0008506041290585717;7.377722476388862e-05;NA;NA;NA;0.0007844574774733649;0.0005479165340378645;NA;
F79;0.0007386411466953255;0.0007407147299542174;0.0006463607210364028;0.0010944166135619035;0.0007568462242642057;0.0007975338338393695;0.0006168324231142433;0.0008129575120155838;0.0011646308375501458;0.001007939044155973;0.00103331430898403;0.0013243705440732943;0.0012818155858270255;0.0007891050499209593;0.0006025190547301211;0.0007572731948728448;0.0013157915602246264;0.0006836629867819252;0.0004406805555541065;0.0007562160770801207;0.0012976292036866505;0.0006938108122358804;0.0011124184863712033;0.0007802249450722197;0.0005833982444682413;0.0003512852285065208;0.0003775002509375285;0.0001723864734344636;0.0003457621651735989;0.0001887330575961394;1.2635071770981572e-05;5.553907354184766e-05;0.00025187127357544585;0.0002593500740491507;0.0005521810545600223;0.0010762552678013366;0.0008027252029687749;0.0005197724033505086;0.000336788845478837;0.0005881186685741384;0.0006552198761861851;0.00028442178635019826;0.00028492124963993903;0.0009698810799169857;0.0008843806146516403;0.003068223551819987;0.0004133564929668571;0.0002986009626605384;0.0009111488048675893;0.00035277036691067895;0.0003783588403493956;0.0004800379139664723;0.0006499487043015899;0.00040232060181485664;8.763865094218776e-05;0.00022178771192538449;0.0003094735230639382;0.00029081704931538095;0.0006560558730441449;0.00037891609891308636;0.00041256750576472705;0.0006483192022245833;0.00027547763168943724;0.000523600531925156;0.0001560891076114714;3.4017097090624335e-05;8.163897300319275e-05;0.00010531101971822451;0.00020181031048228975;0.00016262645180229086;4.477536226772497e-05;0.0002799314361587894;0.00021879506118596058;0.00028665319438582297;0.0009013123868092442;0.0011007628840431355;0.0011998594803280737;0.000540522255018328;0.0002995741591983979;0.0011947581520076204;0.0016503288706256611;0.001098293542683825;0.0009176483401081625;0.0011228037515109116;0.0009169912094279536;0.001220758245946208;0.00037282878103674506;0.0005586071077194028;0.0004744657702541132;0.0009055133393818886;0.0008359875528151801;0.00022093311553843812;0.0003104798717838205;0.0005961201640884824;0.0005216266714244173;0.0019616519425813637;0.0006319403934894854;0.0006687158436868198;NA;0.00040943274728504487;0.0004646581974222969;0.0014537449197002492;0.0022855050893640446;0.0007111934802958591;0.0010464686772382879;0.0014507494625866316;0.0011707392787098862;0.0007029988341270738;NA;0.0005478451626040311;0.0002124826735235599;0.0012892508626058483;0.0004943269940688687;0.000547932222072186;0.0007589250140094136;0.0012579189499909425;0.0001585258371808837;0.0006950841652510473;0.0006757736132492752;0.00018828101444330012;NA;NA;0.0009857258352938593;0.0005770522732117572;0.0005158909310737564;NA;
F81;0.0005623085304085565;0.0003150345731294609;0.00042634427825608814;0.0003472784890612655;0.00030356587481900543;0.0004258746962882542;0.0003100897414167603;0.0004885388709986474;0.00041934216634400374;0.000725583329708582;0.000745856556946271;0.0008027208331117323;0.0008533435709075681;0.0005515468511268926;0.0004157417975491919;0.0002330746196602413;0.0005632199240176712;0.00043698074696805946;0.0002736163398567061;0.000396963664129003;0.0008974172560062943;0.0005275745515626978;0.0008387525770165344;0.0004915732626820675;0.00022394169169214086;0.00027161430116296186;0.00025356134210810456;0.0002007965379471397;0.00025446671076539946;0.0001644125674281163;NA;7.483758967984424e-05;0.0002090155007319171;0.00013484887831479413;0.00014411759822143913;0.0007438596607269537;0.0005319808462952515;0.00031545694950307635;0.0002781035317644236;0.00038577897626560853;0.00043029368151947003;0.0004055915164958246;0.0002493489101970248;0.0006821009705330641;0.00048695430830600567;0.0007256429648191144;0.0002754575867735963;0.00018159074683821993;0.0006950633527590248;0.0003516615624098824;0.0003756702150197528;0.00041196197518567095;0.0005877290849647719;0.00034383600481162883;0.00010100645115181734;NA;0.00024666957213042396;0.00028664777956743796;0.00047085593240005994;0.0002989127979071062;0.0003357606625792518;0.00048161135533137945;0.0003099536131416554;0.0004775014509379375;0.00020439796476561575;0.0001609675902159099;0.00015931344295969346;6.636602634124107e-05;0.0002316812939362819;0.00021794402411737146;0.00015737622354579129;0.0002288553826745625;0.0001812697642326982;0.0003210264897812537;0.0004115490457849217;0.00031226561919115705;NA;0.0004440013443464644;NA;NA;0.0010273387148459162;0.000632739701022692;0.0005161416004485778;0.0009075446476515646;NA;0.0007426030431920453;NA;NA;0.0004132462583035755;0.0007341593445859242;0.000552884763545621;0.000251849946474518;0.0004353089913896971;0.00039949121602338085;0.00017406905105491933;0.0011539174989552404;NA;NA;0.001421533169770988;0.0009294179602221214;0.0005711565833054751;NA;0.0007749813854663464;0.0007425735646706591;0.0009455426834679091;0.0008119785784728788;NA;0.0005870884521780792;0.0006927327355847005;0.0006130832571256733;NA;0.0008940633027753349;0.0004449764746140405;0.0004701861363907404;0.0006601897026076808;NA;NA;0.0003789510864489671;0.000263665164752319;0.00015462612704933776;6.222598529762273e-05;8.598014380602492e-05;0.0004377078495468828;0.0007263698549485835;0.00019289393772083972;7.444850109562047e-05;
F82;0.00023141846355558026;0.0003421904627748512;0.00033752983330057463;0.0004659069619121353;0.0005016797437196932;0.00039931057677440016;0.00041713705773329025;0.00031163089881270696;0.00036837299155212573;0.0005937727565096659;0.0006430966451598678;0.0005594099325878392;0.00043216234415647457;0.00021709787900877055;0.0002853086589223032;0.00034292295360977004;0.0005463804214422257;0.0003319074409279476;0.0002139671968571145;0.0004103932788673151;0.00038291316074879505;0.0002490250467931203;0.0005013191027693091;0.0003372407273387243;0.0001720609627806285;0.00017694672248943545;0.00026228771683147937;0.000122617199348121;0.00020829436561183997;0.00016371591207658582;0.00021751427741083937;7.960732212879811e-05;0.0001448976202896797;0.0001619575757573979;0.00028291814334240734;0.0005935707179258865;0.000392969272981868;0.00024390291790535686;0.00021027817739658033;0.0003477184159252288;0.00031911220001384346;0.00013643635642812357;0.00025596220996745476;0.00047592704049338985;0.0004331636514055326;0.0005284560293525366;0.0002645515865417392;0.00017380816129880332;0.0004886651584432109;0.00031998871406596646;0.00033236986193492036;0.00029191962995153166;0.0005215394919533757;0.0002525216825570051;0.0001397096362637142;0.00016056741704570116;0.00024266417162212175;0.00032294956853205444;0.0005764088324054025;0.000339376526981461;0.00019905285276105686;0.0005083729456141057;0.00013262695971509583;0.0003071138598103825;0.0001024360895728516;0.00011980742354461743;0.0001522524207285739;8.35697268814607e-05;9.06402966630235e-05;0.00019116291070989778;0.00013349250420267977;0.0002797933605271787;0.0002187503343367987;0.0003920971060571757;0.00045793173213730615;0.00045830443182198055;0.0008636404860817324;0.00039624443677436637;0.00021842603337061874;0.0007988213109129659;0.0009858398063223605;0.0007202609686691023;0.0004879604865839612;0.0006384013271157719;0.00048747803728770576;0.0006303351626709055;0.0002282239421514991;0.0003486517410267663;0.00028707435721646177;0.0005871371969750497;0.0006460395063751684;0.000489737392894142;0.0003216526402999925;0.0005792648942678321;0.00022188702488368922;0.0010238596269360868;0.0003840045491166016;0.00027756412998384595;0.0014634336304079176;0.0005858075773690955;0.0003686408359097641;0.0008470921993515018;0.0008536591644793544;0.0005921360812348302;0.0008629135244390321;0.0007648615387021839;0.0005359401736304855;0.0004928673241055171;0.0002701612532781048;0.00041772804535407826;0.00016430545847393257;0.000810735484863096;0.0004010603405174852;0.0005518768341028632;0.00039561131404353307;0.0005031316765962199;0.00014160200175712957;0.0005132289167849066;0.00033919122488331723;5.138788709685771e-05;3.2883601858925535e-05;NA;0.0005231681696265355;0.0006304540062302699;0.0002793360216303946;5.922647801949068e-05;
F92;0.0014366203890873517;0.0014879413677169682;0.0012320438418693446;0.001568287810064897;0.0015273932133298156;0.0010533950109995736;0.0011469354166346133;0.0008598749761396213;0.001308882641673381;0.001042899536739179;0.0009868540612601893;0.0013693984071383634;0.0012355772282408202;0.001374505250521677;0.000901582717892496;0.0007181311870325673;0.0013173981998082466;0.0006809502634884091;0.0007361007942358612;0.0009578502331184982;0.0015178443417138492;0.0009532413182890969;0.0012266029590511582;0.0008972278686606393;0.0004957658265131118;0.0004988899282963744;0.0003746186166993286;0.00020070197413175222;0.00028425245903645303;0.00022104651613886068;0.00033412459266642547;0.00018234296771223635;0.0006394286504135684;0.0005135589030750007;0.0005343343478760097;0.0013454396158696594;0.0007073439161167569;0.00045023033473559263;0.00037205148129053974;0.0005425847801372482;0.0005293583177096489;0.0004092014793981233;0.000481290565410835;0.0007480320162677143;0.001073853249381425;0.0013901869965035933;0.0004979601358561272;0.0005506700012553024;0.000786906796574371;0.00018708274914765673;0.0005205993075349539;0.00043953560216826204;0.0007350109109061995;0.0005046447983671924;0.00025728611157778457;0.00020357207753246863;0.0004725030275640379;0.000510895720034283;0.0006211903445149586;0.0004315516587953708;9.023751666585635e-05;0.0005377413166481739;0.00032050782572853306;0.00030823541623999047;0.00032717593964897503;0.00038025718525727323;0.00044069656898752026;0.0004034378448508631;0.0001639999702326443;0.00016193834238452363;0.00016883380100273461;0.0005733310816568892;0.0002413363741595038;0.000303645501790997;0.0005649831562188451;0.0008894787990633856;0.0009775630343214642;0.0004416924483120704;0.000480112089485667;0.0003140209213073925;0.000624605948331219;0.0007472182225869663;0.0005287112658614088;0.0008175324463166096;0.0011124614299524993;0.0011992173545984871;0.0005590108672248321;0.000501308602494272;0.000304025209848539;0.0007308251926029405;0.0005056081124991408;0.0003226485509863125;0.00021139650541506622;0.0006090313730524157;0.0006203967757375622;0.000381898980989332;0.0005462057282303332;0.0005077793723028226;0.0014579418245983865;0.0008785005992078293;0.000380271965096887;0.0007445774702243758;0.0007660102233603583;0.0006624638118625421;0.0008384284299136968;0.0005101503222167477;0.00034606675888041545;0.0006393888409838927;0.0010158875029558233;0.000501597097627531;0.0006544387629114031;0.0010224415068609198;0.0006083006346333836;0.0007167438321784425;0.0006281992787349255;0.0005633238247355496;0.00040145939476386706;0.0004967692199208123;0.0006086084326674278;0.00012465186735663235;0.0004952518214600237;0.0007682985555295087;0.0010310977946969445;0.000556807330752236;0.000802110983529979;0.0006066239022562607;
F93;0.0017463702896798293;0.0018012502573380388;0.0017029850926417718;0.0022996816860246876;0.0020468309639579975;0.0015580067347719215;0.0017234110275890263;0.0014928111111187589;0.0026625297534368353;0.0015536234480091717;0.0015060372520677013;0.0016367585957259997;0.0016832427763135082;0.0024088483662686186;0.0014404314121058566;0.0014376873694624146;0.0023918338562897447;0.0011024304368360874;0.000943751618404357;0.001206408704542506;0.0019470793365737827;0.0012510293387572968;0.0015924174630976844;0.0013485010833889604;0.0008059361538515744;0.0006664108305017908;0.0006715072980707944;0.00041231656896015186;0.0005185346812868915;0.00029027076170997707;0.000571184580116409;0.0001576101311902829;0.0009959450195834755;0.0006624940450083478;0.0008768405110116394;0.002103762264568096;0.0015467642353667072;0.0009770466875763633;0.0005869223242659735;0.0010293839394597477;0.0009632477774749608;0.0009057460300891881;0.0012164303911021631;0.00188863305346598;0.0015959031434886035;0.0018574696661893112;0.0007365416210461499;0.0008021059940701179;0.0012592076007732168;0.0005660002090309776;0.0008261557376137016;0.001004504182021961;0.0012436589890598615;0.0007905902052644185;0.00039245279453269826;0.0005335656261501618;0.0007264942656109914;0.0005825242518902087;0.0009109563427504881;0.0009333948502366881;0.00021529198701723232;0.0009517449012523563;0.0009299085785035276;0.0007438795322079512;0.0006922471696530328;0.0012873086528102135;0.0008460384018023052;0.000415499252960569;0.000738836847170314;0.0004945761677947254;0.0009397895352802555;0.0007062829053014056;0.0009472677502522271;0.0010380198334101485;0.0016004284881151333;NA;0.0020804587905363953;0.0011884005167326528;0.0012262730649406953;0.001653961959747444;0.0020529368114858416;NA;0.0016000422185212238;0.001893991655799528;0.002028903476626769;0.0023087051677392243;0.0012786816421036873;0.001532966870238463;0.0007016937767637893;0.0013560974904056778;0.001019667509896921;0.0002078844101239843;0.0004941031508998256;0.000572498269165175;NA;0.0019138569142827587;0.0007821993727724942;0.0007326054011876013;0.0015987225051182015;0.0008754056338824488;0.000680243849437372;0.0011793712117449489;0.0012038221981608666;0.0009422759882323309;0.0010670681819610582;NA;NA;0.0012491157445446112;0.0008279522730661946;0.0008232605421464703;0.0006574790700933126;0.0012689118410931246;0.000980050888152587;0.0009494762358485963;0.0008831447562704527;0.0008775213647802458;0.0004843418335498668;0.0010047362356212096;0.0009054924611885609;0.00013528875396551406;0.000242389242482702;0.000496311647432437;0.0011105849656996162;0.0008441903115984132;0.0010148553101640913;0.0004060303234361189;
