FP,PL,IL,dACC,Vacc,OA,AU,M2,M1,S1,SS,GA,AuA,RS,AA,ViA,TeAA,Prh,lpEC,Ech,VA,aOn,TT,DPA,FC,IG,CA1,CA2,CA3,DG,proSub,Sub,Clst,dEPn,vEPn,PC,PAA,LAn,BLA,BMe,CCA,PAn,aAA,CA,IAn,MAn,LSN,SFn,DLS,DMS,NACC SHELL,NACC CORE,FStr,OT,MGCn,Gpe,Gpi,SubInn,MSn,DBn,TnS,BNST,VALCT,VMT,VPLT,VPMT,PTTn,MGC,dLGC,LPT,PCT,PlnT,EnT,AVT,AMn,IADT,IMDT,MDT,SMT,pRE ,PVT,PT ,RE,XiT,Rh,CMT,PCn,CLT,RT,IGLLGC,vlLGC,subGn,MHb,LHb,SON,PVH,IPVH,ArH,ADPO,AVPO,AVPV,DMH,MePO,MPA,PSN,SPZ,SCN,AHN,SMN,MPO,VMHn,PHn,LHA,LPO,PSTN,STN,ZI ,FF,TN ,reSN,cSN,VTA,PAG,SCO,PreCN,APTN
0.141293867,-0.481396092,0.229989939,-0.644759318,-0.209309554,-0.013338603,-0.31838718,0.787385785,0.78761467,0.774378827,0.966793185,0.278987059,-1.370846605,-1.111537521,-1.33442347,-0.969385368,-1.620975311,-0.90415699,-0.669264381,-1.121859704,0.415158654,0.647897999,1.482446938,0.214950536,1.24925589,-0.158906097,-1.455458891,-0.993312575,-0.950992209,0.325100727,-1.809164285,-1.153695962,0.298553522,0.692793404,1.642152251,0.845899638,0.965030961,0.515759143,1.102303032,0.911580265,0.223130095,0.011155425,0.53094517,0.627695113,1.490425819,1.66711225,1.397009938,1.388054754,-0.873738469,-2.211504479,-0.732782589,-2.024608592,1.329662633,-0.310795886,0.696963017,1.426028638,1.100027224,0.659492948,0.42254111,0.456244799,1.857825322,1.324600446,-0.405906403,-1.642758773,1.598880312,1.087088197,1.195042619,1.135086583,0.875525721,-1.48713398,-0.079354944,0.280014275,-1.276851976,-0.314290945,-0.267170999,-0.845867076,-1.561196722,-1.537325485,-1.648903193,-1.278018449,1.090560505,0.821585909,-2.136646011,-1.878769594,-1.724834441,-1.013707483,-0.78345757,-1.783999915,1.06760297,0.871864465,0.116063559,-0.717497494,0.033748205,-0.14859523,1.663536124,-1.315327162,-0.625470276,0.808468081,0.976069699,0.705900892,0.820096249,-1.27719771,-0.686052908,0.89197475,-0.406105743,0.271164214,1.058544057,1.428869565,-0.159748638,0.923925836,1.712158879,-0.504619326,1.440565447,0.991272892,0.722870288,0.483761694,1.691980817,0.63977252,1.840228041,0.952055783,0.777309382,1.208161692,1.422455078,-0.322126497,-0.878327114,0.968166755
-1.280185639,-1.26826913,-0.989783762,-1.351748335,-1.226394615,-1.120455539,0.215098725,-0.937445166,-0.566673016,-1.211383865,-0.792210717,0.641402328,-1.028089687,-1.226942931,-0.6074994,-1.571982287,-0.576632454,-0.713408493,-1.123946832,-0.725667587,-0.189927462,-1.386179319,-0.387623621,-0.335625871,0.354766791,-0.660057396,-1.110579498,-0.805398852,-1.056615753,-0.724014551,-0.123053499,-1.160669786,-0.12844423,-0.643014058,0.218723234,-1.189180923,-0.131831114,-0.062749835,0.775992566,-0.41890807,0.284069376,-0.594778558,1.487416955,0.800572303,-0.294768969,0.19631878,-0.768248572,-0.688436191,1.471017144,0.415347268,0.998327839,0.844220685,1.302434009,-1.051551695,1.262755698,0.021295672,-1.138364157,0.758146454,1.176781639,-0.691679657,-0.388299201,0.317416697,1.021656661,1.059765396,0.543953555,1.451881574,0.587911444,1.10277856,0.165278744,0.875684186,1.791303626,0.159403765,1.205963657,0.847138182,1.11735485,-0.995062782,0.839330886,0.870591942,0.98481229,0.530827205,-1.001488282,-0.997731554,0.303838867,0.954438985,0.146167111,1.240313083,1.642495117,0.218202525,0.150320284,-0.859266187,-0.537884087,-0.31580661,-0.90452818,0.99780391,-0.092549202,1.147789775,1.407210794,0.447602665,-0.801832407,0.753370536,-1.219613978,0.983821438,0.622935731,0.914489553,-0.23429594,1.176085849,1.430836201,0.867334515,-0.691428884,1.390784803,0.46784333,-0.650330459,0.846844106,1.386108845,-0.182092031,1.073915887,0.018078772,-0.078265139,-0.24060897,-0.271507315,-0.189059237,0.237024015,-0.852152504,-1.810645061,-1.55500458,0.901180635
-0.505546284,-1.776732106,-0.375984553,-1.251610231,0.033638909,1.156496247,0.233711813,-1.404283434,-0.99386301,-0.389353808,0.000368458,-1.148990979,1.258708613,0.172414625,-0.364029762,1.159197386,1.228282986,1.137578732,1.183815659,0.75847389,-1.0095225,1.060229075,1.647639436,0.647107306,-1.339202438,0.80066178,0.145795727,0.434214252,0.852338155,0.402021357,-0.623320793,0.277397099,-1.400539148,-0.800835966,-0.380740937,-0.248328932,1.569416395,1.176226475,-0.250263834,-0.734488021,1.160135116,0.9687434,0.002042541,-0.866243576,-1.408819943,-1.152143235,1.335322021,0.916772654,-0.100965999,-0.60733475,0.206416416,-0.471421103,0.623845237,0.826591828,0.757181763,1.314340265,0.281745898,1.490862172,0.001234995,-0.830846342,0.66575188,1.024211852,-0.021780811,-0.984717584,-0.350500012,0.224474031,-0.180561615,1.742319859,1.196720884,0.923359989,-0.4319815,-0.263953754,0.222501878,1.131579291,-1.412826806,-0.908998296,-1.37498845,0.548859224,-0.783595499,-0.473233984,-1.054884692,-0.708537727,-1.503092852,-1.64502117,-1.626325672,-1.06592296,-0.810277475,-1.233887435,-0.146182121,0.361848461,0.985467635,-1.094421712,1.517511759,0.863089694,-0.238453766,1.156261549,1.019270865,1.986370392,-1.30385251,-0.50784277,-0.760620861,1.492251726,1.042735726,1.289207962,-0.151793372,0.055535175,-0.258445087,0.383349303,0.081072204,1.414068706,0.701858208,-0.033571867,-0.966467688,0.160403893,-1.773688682,-1.297459894,-1.423602385,-1.670670902,1.928986738,1.541581385,0.909936205,1.727793888,-0.904681114,0.259565467,-0.029987119,-1.340942664
-1.133437281,-0.936706285,-0.472977143,0.479265549,0.578278031,1.112295715,-0.492566225,-0.332063127,0.62731596,0.213411117,1.688071114,-2.500774589,-0.411880765,0.472699957,0.477197635,1.190164054,-0.528137588,0.716659934,0.833976516,0.905230315,0.506770354,0.057453551,-0.699218027,1.026682138,-0.782928245,1.674033661,0.361679753,-1.66726801,1.64832648,-0.566733839,0.414872755,0.767058509,0.356881252,0.516688091,-0.248370741,0.616318178,-1.244102449,-0.098648498,0.075432816,0.537450484,0.214257145,0.011064167,-1.278858579,0.479704696,-0.132540102,0.26622404,0.622638536,-0.560295241,-0.709273959,-0.98263016,-1.420522235,1.381580825,1.171848077,-0.207548581,-1.772053608,-0.018287979,0.434080768,0.926576015,-0.19265562,0.892084266,-0.337893981,-0.838882266,0.904970706,-0.481153884,-0.576589092,-0.433528641,0.898345083,1.09167544,-0.009158955,-1.71740126,-1.911421335,-0.584811746,0.773973723,0.931045186,0.802071501,0.382473893,0.440275368,-1.318700398,0.319527436,-0.577769462,-0.762290082,1.496378142,-1.007820394,-1.215124664,0.601225322,-0.179772657,-1.554061355,-0.91650069,-1.19975327,-0.887493895,-0.858274831,0.566128317,-0.561911953,-1.239372876,-0.34729285,0.667219129,-0.358785983,0.055970271,1.336159455,0.641281057,1.404482008,-0.665785738,0.363158347,-0.928103876,-0.693648912,1.718852434,0.607617309,-0.910746845,0.922165744,-0.953187968,-0.644649043,1.213464049,-0.447723268,-0.893483493,1.265456701,1.033557406,1.676094265,1.912859455,-0.16664248,-1.175978702,-1.036416659,-1.541782754,1.679636122,-1.635492564,1.676151722,0.268547719
