SS,,,MS,,,SC,,,MC,
1,,,1,,,1,,,1,
LPO,0.991735537,,LPT,0.99122807,,CA1,0.966942149,,MHb,0.991150442
MPA,0.983471074,,Clst,0.98245614,,LAn,0.958677686,,SubInn,0.982300885
PCn,0.975206612,,M2,0.973684211,,S1,0.950413223,,TnS,0.973451327
AVPO,0.966942149,,LHb,0.964912281,,BLA,0.94214876,,AU,0.96460177
S1,0.958677686,,M1,0.956140351,,APTN,0.933884298,,PCT,0.955752212
SubInn,0.950413223,,SMT,0.947368421,,TeAA,0.925619835,,SFn,0.946902655
MSn,0.94214876,,LPO,0.929824561,,OA,0.917355372,,M2,0.938053097
SS,0.933884298,,PC,0.763157895,,CA3,0.909090909,,EnT,0.92920354
VMHn,0.925619835,,ZI,0.754385965,,IAn,0.900826446,,BNST,0.920353982
SMT,0.917355372,,GA,0.728070175,,PHn,0.892561983,,M1,0.911504425
PSN,0.909090909,,Rh,0.719298246,,PC,0.884297521,,DBn,0.902654867
VMT,0.900826446,,FF,0.692982456,,LHA,0.876033058,,PreCN,0.89380531
VPMT,0.892561983,,DLS,0.666666667,,Gpe,0.867768595,,GA,0.884955752
DBn,0.884297521,,NACC.SHELL,0.666666667,,ViA,0.785123967,,PAn,0.876106195
MPO,0.876033058,,PSN,0.657894737,,DBn,0.776859504,,SCO,0.867256637
VALCT,0.867768595,,NACC.CORE,0.649122807,,IG,0.776859504,,MSn,0.85840708
EnT,0.859504132,,MDT,0.631578947,,SS,0.752066116,,VTA,0.840707965
LAn,0.851239669,,PSTN,0.605263158,,SFn,0.743801653,,S1,0.831858407
AU,0.842975207,,vEPn,0.596491228,,MHb,0.719008264,,DG,0.82300885
MGCn,0.834710744,,Gpe,0.596491228,,IMDT,0.685950413,,PSTN,0.814159292
Vacc,0.826446281,,AHN,0.587719298,,lpEC,0.67768595,,PL,0.805309735
DMH,0.809917355,,EnT,0.570175439,,PCT,0.628099174,,VPMT,0.796460177
SFn,0.801652893,,SFn,0.543859649,,CA,0.595041322,,PSN,0.787610619
vEPn,0.785123967,,vlLGC,0.5,,FP,0.561983471,,OA,0.778761062
M1,0.776859504,,CA3,0.412280702,,vEPn,0.545454545,,VALCT,0.769911504
PTTn,0.603305785,,IL,0.403508772,,DLS,0.347107438,,LAn,0.761061947
OT,0.570247934,,SPZ,0.271929825,,LHb,0.305785124,,MGC,0.752212389
PL,0.561983471,,AU,0.219298246,,OT,0.280991736,,IGLLGC,0.743362832
PT,0.338842975,,PAA,0.131578947,,Gpi,0.20661157,,Clst,0.734513274
