HC,1.0,lpEC:0.9919354838709677,MGCn:0.9838709677419355,LHA:0.9758064516129032,SubInn:0.967741935483871,SS:0.9596774193548387,PAn:0.9516129032258065,PAG:0.9435483870967742,SMT:0.9354838709677419,S1:0.9274193548387096,PreCN:0.9193548387096774,Prh:0.9112903225806451,IGLLGC:0.9032258064516129,GA:0.8951612903225806,PCT:0.8870967741935484,STN:0.8790322580645161,AuA:0.8709677419354839,CCA:0.8629032258064516,FC:0.8548387096774194,SON:0.8467741935483871,M1:0.8387096774193549,AHN:0.8306451612903226,MSn:0.8225806451612904,VMT:0.8145161290322581,ZI:0.8064516129032258,Rh:0.7983870967741935,RS:0.7903225806451613,SFn:0.782258064516129,CA2:0.7741935483870968,PlnT:0.7661290322580645
MS,1.0,LPT:0.9912280701754386,Clst:0.9824561403508771,M2:0.9736842105263158,LHb:0.9649122807017544,M1:0.956140350877193,SMT:0.9473684210526315,LPO:0.9298245614035088,PC:0.7631578947368421,ZI:0.7543859649122807,GA:0.7280701754385965,Rh:0.7192982456140351,FF:0.6929824561403509,DLS:0.6666666666666666,NACC.SHELL:0.6666666666666666,PSN:0.6578947368421053,NACC.CORE:0.6491228070175439,MDT:0.631578947368421,PSTN:0.6052631578947368,vEPn:0.5964912280701754,Gpe:0.5964912280701754,AHN:0.5877192982456141,EnT:0.5701754385964912,SFn:0.543859649122807,vlLGC:0.5,CA3:0.41228070175438597,IL:0.40350877192982454,SPZ:0.2719298245614035,AU:0.21929824561403508,PAA:0.13157894736842105
MC,1.0,MHb:0.9911504424778761,SubInn:0.9823008849557522,TnS:0.9734513274336283,AU:0.9646017699115044,PCT:0.9557522123893806,SFn:0.9469026548672567,M2:0.9380530973451328,EnT:0.9292035398230089,BNST:0.9203539823008849,M1:0.911504424778761,DBn:0.9026548672566371,PreCN:0.8938053097345132,GA:0.8849557522123894,PAn:0.8761061946902655,SCO:0.8672566371681416,MSn:0.8584070796460177,VTA:0.8407079646017699,S1:0.831858407079646,DG:0.8230088495575221,PSTN:0.8141592920353983,PL:0.8053097345132744,VPMT:0.7964601769911505,PSN:0.7876106194690266,OA:0.7787610619469026,VALCT:0.7699115044247787,LAn:0.7610619469026548,MGC:0.7522123893805309,IGLLGC:0.7433628318584071,Clst:0.7345132743362832
SS,1.0,LPO:0.9917355371900827,MPA:0.9834710743801653,PCn:0.9752066115702479,AVPO:0.9669421487603306,S1:0.9586776859504132,SubInn:0.9504132231404959,MSn:0.9421487603305785,SS:0.9338842975206612,VMHn:0.9256198347107438,SMT:0.9173553719008265,PSN:0.9090909090909091,VMT:0.9008264462809917,VPMT:0.8925619834710744,DBn:0.8842975206611571,MPO:0.8760330578512396,VALCT:0.8677685950413223,EnT:0.859504132231405,LAn:0.8512396694214877,AU:0.8429752066115702,MGCn:0.8347107438016529,Vacc:0.8264462809917356,DMH:0.8099173553719008,SFn:0.8016528925619835,vEPn:0.7851239669421488,M1:0.7768595041322314,PTTn:0.6033057851239669,OT:0.5702479338842975,PL:0.5619834710743802,PT:0.33884297520661155
SC,1.0,CA1:0.9669421487603306,LAn:0.9586776859504132,S1:0.9504132231404959,BLA:0.9421487603305785,APTN:0.9338842975206612,TeAA:0.9256198347107438,OA:0.9173553719008265,CA3:0.9090909090909091,IAn:0.9008264462809917,PHn:0.8925619834710744,PC:0.8842975206611571,LHA:0.8760330578512396,Gpe:0.8677685950413223,ViA:0.7851239669421488,DBn:0.7768595041322314,IG:0.7768595041322314,SS:0.7520661157024794,SFn:0.743801652892562,MHb:0.71900826446281,IMDT:0.6859504132231405,lpEC:0.6776859504132231,PCT:0.628099173553719,CA:0.5950413223140496,FP:0.5619834710743802,vEPn:0.5454545454545454,DLS:0.34710743801652894,LHb:0.30578512396694213,OT:0.2809917355371901,Gpi:0.2066115702479339
