"data.key.column","EdgeBetweenness","interaction","name","selected","shared interaction","shared name","source","target","weight"
"56157",,"interacts with","AMn (interacts with) ZI","false","interacts with","AMn (interacts with) ZI","AMn","ZI","0.7748289"
"56154",,"interacts with","AVT (interacts with) PSTN","false","interacts with","AVT (interacts with) PSTN","AVT","PSTN","0.8651324"
"56151",,"interacts with","AVT (interacts with) SMN","false","interacts with","AVT (interacts with) SMN","AVT","SMN","0.8437342"
"56148",,"interacts with","AVT (interacts with) AMn","false","interacts with","AVT (interacts with) AMn","AVT","AMn","0.8077959"
"56145",,"interacts with","EnT (interacts with) APTN","false","interacts with","EnT (interacts with) APTN","EnT","APTN","0.8173922"
"56142",,"interacts with","EnT (interacts with) LHb","false","interacts with","EnT (interacts with) LHb","EnT","LHb","0.7927995"
"56139",,"interacts with","EnT (interacts with) CLT","false","interacts with","EnT (interacts with) CLT","EnT","CLT","0.8091417"
"56136",,"interacts with","EnT (interacts with) Rh","false","interacts with","EnT (interacts with) Rh","EnT","Rh","0.8465562"
"56133",,"interacts with","EnT (interacts with) RE","false","interacts with","EnT (interacts with) RE","EnT","RE","0.8571671"
"56130",,"interacts with","PlnT (interacts with) ZI","false","interacts with","PlnT (interacts with) ZI","PlnT","ZI","0.8075583"
"56127",,"interacts with","PlnT (interacts with) IMDT","false","interacts with","PlnT (interacts with) IMDT","PlnT","IMDT","0.8470622"
"56124",,"interacts with","LPT (interacts with) APTN","false","interacts with","LPT (interacts with) APTN","LPT","APTN","0.8155255"
"56121",,"interacts with","LPT (interacts with) ZI","false","interacts with","LPT (interacts with) ZI","LPT","ZI","0.7841719"
"56118",,"interacts with","LPT (interacts with) LHb","false","interacts with","LPT (interacts with) LHb","LPT","LHb","0.8344349"
"56115",,"interacts with","LPT (interacts with) CLT","false","interacts with","LPT (interacts with) CLT","LPT","CLT","0.7768564"
"56112",,"interacts with","LPT (interacts with) CMT","false","interacts with","LPT (interacts with) CMT","LPT","CMT","0.7418582"
"56109",,"interacts with","LPT (interacts with) Rh","false","interacts with","LPT (interacts with) Rh","LPT","Rh","0.8719695"
"56106",,"interacts with","LPT (interacts with) RE","false","interacts with","LPT (interacts with) RE","LPT","RE","0.9254885"
"56103",,"interacts with","LPT (interacts with) IMDT","false","interacts with","LPT (interacts with) IMDT","LPT","IMDT","0.8149289"
"56100",,"interacts with","LPT (interacts with) EnT","false","interacts with","LPT (interacts with) EnT","LPT","EnT","0.9023726"
"56097",,"interacts with","dLGC (interacts with) ZI","false","interacts with","dLGC (interacts with) ZI","dLGC","ZI","0.7439065"
"56094",,"interacts with","PTTn (interacts with) SCN","false","interacts with","PTTn (interacts with) SCN","PTTn","SCN","0.9394167"
"56091",,"interacts with","PTTn (interacts with) PSN","false","interacts with","PTTn (interacts with) PSN","PTTn","PSN","0.9063736"
"56088",,"interacts with","PTTn (interacts with) ADPO","false","interacts with","PTTn (interacts with) ADPO","PTTn","ADPO","0.9381418"
"56085",,"interacts with","PTTn (interacts with) IPVH","false","interacts with","PTTn (interacts with) IPVH","PTTn","IPVH","0.7882846"
"56082",,"interacts with","VMT (interacts with) PSTN","false","interacts with","VMT (interacts with) PSTN","VMT","PSTN","0.7312478"
"56079",,"interacts with","VMT (interacts with) LHb","false","interacts with","VMT (interacts with) LHb","VMT","LHb","0.8999023"
