"data.key.column","EdgeBetweenness","interaction","name","selected","shared interaction","shared name","source","target","weight"
"55821",,"interacts with","MGC (interacts with) SMT","false","interacts with","MGC (interacts with) SMT","MGC","SMT","0.8943145"
"55818",,"interacts with","MGC (interacts with) IMDT","false","interacts with","MGC (interacts with) IMDT","MGC","IMDT","0.8068378"
"55815",,"interacts with","PTTn (interacts with) EnT","false","interacts with","PTTn (interacts with) EnT","PTTn","EnT","0.980059"
"55812",,"interacts with","PTTn (interacts with) PlnT","false","interacts with","PTTn (interacts with) PlnT","PTTn","PlnT","0.8168858"
"55809",,"interacts with","VPMT (interacts with) APTN","false","interacts with","VPMT (interacts with) APTN","VPMT","APTN","0.8898242"
"55806",,"interacts with","VPMT (interacts with) PSTN","false","interacts with","VPMT (interacts with) PSTN","VPMT","PSTN","0.8027888"
"55803",,"interacts with","VPMT (interacts with) LHA","false","interacts with","VPMT (interacts with) LHA","VPMT","LHA","0.7349633"
"55800",,"interacts with","VPMT (interacts with) PCT","false","interacts with","VPMT (interacts with) PCT","VPMT","PCT","0.9340521"
"55797",,"interacts with","VPLT (interacts with) APTN","false","interacts with","VPLT (interacts with) APTN","VPLT","APTN","0.8204474"
"55794",,"interacts with","VPLT (interacts with) ZI","false","interacts with","VPLT (interacts with) ZI","VPLT","ZI","0.7495456"
"55791",,"interacts with","VMT (interacts with) ADPO","false","interacts with","VMT (interacts with) ADPO","VMT","ADPO","0.9113028"
"55788",,"interacts with","VALCT (interacts with) LHb","false","interacts with","VALCT (interacts with) LHb","VALCT","LHb","0.8437054"
"55785",,"interacts with","BNST (interacts with) cSN","false","interacts with","BNST (interacts with) cSN","BNST","cSN","0.8520148"
"55782",,"interacts with","TnS (interacts with) BNST","false","interacts with","TnS (interacts with) BNST","TnS","BNST","0.884811"
"55779",,"interacts with","DBn (interacts with) AVPV","false","interacts with","DBn (interacts with) AVPV","DBn","AVPV","0.7908362"
"55776",,"interacts with","DBn (interacts with) ArH","false","interacts with","DBn (interacts with) ArH","DBn","ArH","0.8061642"
"55773",,"interacts with","DBn (interacts with) SON","false","interacts with","DBn (interacts with) SON","DBn","SON","0.7958471"
"55770",,"interacts with","MSn (interacts with) AVPV","false","interacts with","MSn (interacts with) AVPV","MSn","AVPV","0.8151565"
"55767",,"interacts with","MSn (interacts with) DBn","false","interacts with","MSn (interacts with) DBn","MSn","DBn","0.9371194"
"55764",,"interacts with","Gpi (interacts with) APTN","false","interacts with","Gpi (interacts with) APTN","Gpi","APTN","0.8201412"
"55761",,"interacts with","Gpi (interacts with) VPLT","false","interacts with","Gpi (interacts with) VPLT","Gpi","VPLT","0.8067264"
"55758",,"interacts with","Gpe (interacts with) APTN","false","interacts with","Gpe (interacts with) APTN","Gpe","APTN","0.8214714"
"55755",,"interacts with","Gpe (interacts with) FF","false","interacts with","Gpe (interacts with) FF","Gpe","FF","0.7918093"
"55752",,"interacts with","Gpe (interacts with) VPMT","false","interacts with","Gpe (interacts with) VPMT","Gpe","VPMT","0.7473719"
"55749",,"interacts with","Gpe (interacts with) VPLT","false","interacts with","Gpe (interacts with) VPLT","Gpe","VPLT","0.7990706"
"55746",,"interacts with","Gpe (interacts with) Gpi","false","interacts with","Gpe (interacts with) Gpi","Gpe","Gpi","0.9308337"
"55743",,"interacts with","MGCn (interacts with) DBn","false","interacts with","MGCn (interacts with) DBn","MGCn","DBn","0.7970357"
"55740",,"interacts with","MGCn (interacts with) MSn","false","interacts with","MGCn (interacts with) MSn","MGCn","MSn","0.8039025"
"55737",,"interacts with","OT (interacts with) ArH","false","interacts with","OT (interacts with) ArH","OT","ArH","0.8813547"
"55734",,"interacts with","OT (interacts with) SON","false","interacts with","OT (interacts with) SON","OT","SON","0.8063083"
"55731",,"interacts with","OT (interacts with) DBn","false","interacts with","OT (interacts with) DBn","OT","DBn","0.8055798"
"55728",,"interacts with","OT (interacts with) MSn","false","interacts with","OT (interacts with) MSn","OT","MSn","0.7638441"
"55725",,"interacts with","OT (interacts with) MGCn","false","interacts with","OT (interacts with) MGCn","OT","MGCn","0.8788323"
"55722",,"interacts with","FStr (interacts with) CLT","false","interacts with","FStr (interacts with) CLT","FStr","CLT","0.7379254"
"55719",,"interacts with","FStr (interacts with) PCT","false","interacts with","FStr (interacts with) PCT","FStr","PCT","0.7321144"
"55716",,"interacts with","FStr (interacts with) VPMT","false","interacts with","FStr (interacts with) VPMT","FStr","VPMT","0.823314"
"55713",,"interacts with","NACC.CORE (interacts with) LPO","false","interacts with","NACC.CORE (interacts with) LPO","NACC.CORE","LPO","0.7419656"
"55710",,"interacts with","NACC.CORE (interacts with) PSN","false","interacts with","NACC.CORE (interacts with) PSN","NACC.CORE","PSN","0.8951533"
"55707",,"interacts with","NACC.CORE (interacts with) MPA","false","interacts with","NACC.CORE (interacts with) MPA","NACC.CORE","MPA","0.8340675"
"55704",,"interacts with","NACC.SHELL (interacts with) IADT","false","interacts with","NACC.SHELL (interacts with) IADT","NACC.SHELL","IADT","0.7863047"
"55701",,"interacts with","DMS (interacts with) TnS","false","interacts with","DMS (interacts with) TnS","DMS","TnS","0.7502822"
