"data.key.column","EdgeBetweenness","interaction","name","selected","shared interaction","shared name","source","target","weight"
"7822",,"interacts with","AU (interacts with) PSTN","false","interacts with","AU (interacts with) PSTN","AU","PSTN","0.7771543"
"7825",,"interacts with","M2 (interacts with) M1","false","interacts with","M2 (interacts with) M1","M2","M1","0.8514291"
"7828",,"interacts with","M2 (interacts with) S1","false","interacts with","M2 (interacts with) S1","M2","S1","0.8217679"
"7831",,"interacts with","M2 (interacts with) SS","false","interacts with","M2 (interacts with) SS","M2","SS","0.7537898"
"7834",,"interacts with","M2 (interacts with) GA","false","interacts with","M2 (interacts with) GA","M2","GA","0.7736325"
"7837",,"interacts with","M2 (interacts with) RS","false","interacts with","M2 (interacts with) RS","M2","RS","0.8423286"
"7840",,"interacts with","M2 (interacts with) CA3","false","interacts with","M2 (interacts with) CA3","M2","CA3","-0.8943779"
"7843",,"interacts with","M2 (interacts with) MGC","false","interacts with","M2 (interacts with) MGC","M2","MGC","-0.7572461"
"7846",,"interacts with","M2 (interacts with) subGn","false","interacts with","M2 (interacts with) subGn","M2","subGn","0.8172552"
"7849",,"interacts with","M2 (interacts with) VMHn","false","interacts with","M2 (interacts with) VMHn","M2","VMHn","0.7425641"
"7852",,"interacts with","M1 (interacts with) S1","false","interacts with","M1 (interacts with) S1","M1","S1","0.8553806"
"7855",,"interacts with","M1 (interacts with) SS","false","interacts with","M1 (interacts with) SS","M1","SS","0.8581245"
"7858",,"interacts with","M1 (interacts with) GA","false","interacts with","M1 (interacts with) GA","M1","GA","0.8970703"
"7861",,"interacts with","M1 (interacts with) VA","false","interacts with","M1 (interacts with) VA","M1","VA","0.7363151"
"7864",,"interacts with","M1 (interacts with) DPA","false","interacts with","M1 (interacts with) DPA","M1","DPA","-0.8102871"
"7867",,"interacts with","M1 (interacts with) Clst","false","interacts with","M1 (interacts with) Clst","M1","Clst","-0.7811702"
"7870",,"interacts with","M1 (interacts with) dEPn","false","interacts with","M1 (interacts with) dEPn","M1","dEPn","-0.8559791"
"7873",,"interacts with","M1 (interacts with) LSN","false","interacts with","M1 (interacts with) LSN","M1","LSN","-0.7465095"
"7876",,"interacts with","M1 (interacts with) pRE","false","interacts with","M1 (interacts with) pRE","M1","pRE","-0.7705823"
"7879",,"interacts with","M1 (interacts with) PT","false","interacts with","M1 (interacts with) PT","M1","PT","-0.8303706"
"7882",,"interacts with","M1 (interacts with) subGn","false","interacts with","M1 (interacts with) subGn","M1","subGn","0.8911527"
"7885",,"interacts with","M1 (interacts with) STN","false","interacts with","M1 (interacts with) STN","M1","STN","0.7562899"
"7888",,"interacts with","M1 (interacts with) ZI","false","interacts with","M1 (interacts with) ZI","M1","ZI","-0.7678033"
"7891",,"interacts with","S1 (interacts with) SS","false","interacts with","S1 (interacts with) SS","S1","SS","0.9678564"
"7894",,"interacts with","S1 (interacts with) GA","false","interacts with","S1 (interacts with) GA","S1","GA","0.9377084"
"7897",,"interacts with","S1 (interacts with) AuA","false","interacts with","S1 (interacts with) AuA","S1","AuA","0.7309512"
"7900",,"interacts with","S1 (interacts with) RS","false","interacts with","S1 (interacts with) RS","S1","RS","0.7616858"
"7903",,"interacts with","S1 (interacts with) ViA","false","interacts with","S1 (interacts with) ViA","S1","ViA","0.8258482"
"7906",,"interacts with","S1 (interacts with) VA","false","interacts with","S1 (interacts with) VA","S1","VA","0.8552378"
"7909",,"interacts with","S1 (interacts with) DPA","false","interacts with","S1 (interacts with) DPA","S1","DPA","-0.8268382"
"7912",,"interacts with","S1 (interacts with) PC","false","interacts with","S1 (interacts with) PC","S1","PC","0.737672"
"7915",,"interacts with","S1 (interacts with) DG","false","interacts with","S1 (interacts with) DG","S1","DG","-0.8022817"
