"data.key.column","EdgeBetweenness","interaction","name","selected","shared interaction","shared name","source","target","weight"
"36035",,"interacts with","vlLGC (interacts with) ADPO","false","interacts with","vlLGC (interacts with) ADPO","vlLGC","ADPO","0.8234343"
"36032",,"interacts with","vlLGC (interacts with) PVH","false","interacts with","vlLGC (interacts with) PVH","vlLGC","PVH","0.7674527"
"36029",,"interacts with","vlLGC (interacts with) MHb","false","interacts with","vlLGC (interacts with) MHb","vlLGC","MHb","0.8413007"
"36026",,"interacts with","IGLLGC (interacts with) PreCN","false","interacts with","IGLLGC (interacts with) PreCN","IGLLGC","PreCN","0.8540298"
"36023",,"interacts with","IGLLGC (interacts with) MPO","false","interacts with","IGLLGC (interacts with) MPO","IGLLGC","MPO","0.7899925"
"36020",,"interacts with","IGLLGC (interacts with) MHb","false","interacts with","IGLLGC (interacts with) MHb","IGLLGC","MHb","0.8986195"
"36017",,"interacts with","IGLLGC (interacts with) vlLGC","false","interacts with","IGLLGC (interacts with) vlLGC","IGLLGC","vlLGC","0.8084939"
"36014",,"interacts with","RT (interacts with) AVPV","false","interacts with","RT (interacts with) AVPV","RT","AVPV","0.8820633"
"36011",,"interacts with","PCn (interacts with) CLT","false","interacts with","PCn (interacts with) CLT","PCn","CLT","0.9111892"
"36008",,"interacts with","XiT (interacts with) RT","false","interacts with","XiT (interacts with) RT","XiT","RT","0.7645496"
"36005",,"interacts with","PT (interacts with) MePO","false","interacts with","PT (interacts with) MePO","PT","MePO","0.8223166"
"36002",,"interacts with","PT (interacts with) ADPO","false","interacts with","PT (interacts with) ADPO","PT","ADPO","0.9254865"
"35999",,"interacts with","PT (interacts with) MHb","false","interacts with","PT (interacts with) MHb","PT","MHb","0.7895875"
"35996",,"interacts with","PT (interacts with) vlLGC","false","interacts with","PT (interacts with) vlLGC","PT","vlLGC","0.8343812"
"35993",,"interacts with","PVT (interacts with) PreCN","false","interacts with","PVT (interacts with) PreCN","PVT","PreCN","0.7338888"
"35990",,"interacts with","PVT (interacts with) SCO","false","interacts with","PVT (interacts with) SCO","PVT","SCO","0.7342345"
"35987",,"interacts with","PVT (interacts with) MePO","false","interacts with","PVT (interacts with) MePO","PVT","MePO","0.7417755"
"35984",,"interacts with","PVT (interacts with) PVH","false","interacts with","PVT (interacts with) PVH","PVT","PVH","0.8692533"
"35981",,"interacts with","PVT (interacts with) MHb","false","interacts with","PVT (interacts with) MHb","PVT","MHb","0.8833337"
"35978",,"interacts with","PVT (interacts with) vlLGC","false","interacts with","PVT (interacts with) vlLGC","PVT","vlLGC","0.8740507"
"35975",,"interacts with","PVT (interacts with) IGLLGC","false","interacts with","PVT (interacts with) IGLLGC","PVT","IGLLGC","0.7921585"
"35972",,"interacts with","PVT (interacts with) PT","false","interacts with","PVT (interacts with) PT","PVT","PT","0.8652896"
"35969",,"interacts with","pRE (interacts with) ZI","false","interacts with","pRE (interacts with) ZI","pRE","ZI","0.7935158"
"35966",,"interacts with","pRE (interacts with) PVH","false","interacts with","pRE (interacts with) PVH","pRE","PVH","0.874403"
"35963",,"interacts with","pRE (interacts with) XiT","false","interacts with","pRE (interacts with) XiT","pRE","XiT","0.7949298"
"35960",,"interacts with","SMT (interacts with) CLT","false","interacts with","SMT (interacts with) CLT","SMT","CLT","0.9142485"
"35957",,"interacts with","SMT (interacts with) PCn","false","interacts with","SMT (interacts with) PCn","SMT","PCn","0.9007714"
"35954",,"interacts with","MDT (interacts with) CLT","false","interacts with","MDT (interacts with) CLT","MDT","CLT","0.8743154"
"35951",,"interacts with","AMn (interacts with) RE","false","interacts with","AMn (interacts with) RE","AMn","RE","0.9230165"
"35948",,"interacts with","AVT (interacts with) IMDT","false","interacts with","AVT (interacts with) IMDT","AVT","IMDT","0.8728568"
"35945",,"interacts with","EnT (interacts with) LHA","false","interacts with","EnT (interacts with) LHA","EnT","LHA","0.7754981"
"35942",,"interacts with","EnT (interacts with) CLT","false","interacts with","EnT (interacts with) CLT","EnT","CLT","0.862272"
"35939",,"interacts with","EnT (interacts with) PCn","false","interacts with","EnT (interacts with) PCn","EnT","PCn","0.8757886"
"35936",,"interacts with","EnT (interacts with) MDT","false","interacts with","EnT (interacts with) MDT","EnT","MDT","0.7693374"
"35933",,"interacts with","PlnT (interacts with) VTA","false","interacts with","PlnT (interacts with) VTA","PlnT","VTA","0.8034523"
"35930",,"interacts with","PlnT (interacts with) LHA","false","interacts with","PlnT (interacts with) LHA","PlnT","LHA","0.8091787"
"35927",,"interacts with","PlnT (interacts with) VMHn","false","interacts with","PlnT (interacts with) VMHn","PlnT","VMHn","0.9387233"
"35924",,"interacts with","PlnT (interacts with) EnT","false","interacts with","PlnT (interacts with) EnT","PlnT","EnT","0.7411174"
"35921",,"interacts with","PCT (interacts with) LHA","false","interacts with","PCT (interacts with) LHA","PCT","LHA","0.7407237"
"35918",,"interacts with","PCT (interacts with) CLT","false","interacts with","PCT (interacts with) CLT","PCT","CLT","0.9192359"
"35915",,"interacts with","PCT (interacts with) PCn","false","interacts with","PCT (interacts with) PCn","PCT","PCn","0.9372494"
"35912",,"interacts with","PCT (interacts with) SMT","false","interacts with","PCT (interacts with) SMT","PCT","SMT","0.8075887"
"35909",,"interacts with","PCT (interacts with) MDT","false","interacts with","PCT (interacts with) MDT","PCT","MDT","0.8232068"
"35906",,"interacts with","PCT (interacts with) EnT","false","interacts with","PCT (interacts with) EnT","PCT","EnT","0.9783244"
"35903",,"interacts with","LPT (interacts with) RT","false","interacts with","LPT (interacts with) RT","LPT","RT","0.7683127"
"35900",,"interacts with","LPT (interacts with) MDT","false","interacts with","LPT (interacts with) MDT","LPT","MDT","0.9017858"
"35897",,"interacts with","dLGC (interacts with) XiT","false","interacts with","dLGC (interacts with) XiT","dLGC","XiT","0.803681"
"35894",,"interacts with","dLGC (interacts with) RE","false","interacts with","dLGC (interacts with) RE","dLGC","RE","0.7934654"
"35891",,"interacts with","MGC (interacts with) APTN","false","interacts with","MGC (interacts with) APTN","MGC","APTN","0.8050869"
"35888",,"interacts with","MGC (interacts with) VTA","false","interacts with","MGC (interacts with) VTA","MGC","VTA","0.8928028"
"35885",,"interacts with","MGC (interacts with) cSN","false","interacts with","MGC (interacts with) cSN","MGC","cSN","0.8760286"
"35882",,"interacts with","MGC (interacts with) VMHn","false","interacts with","MGC (interacts with) VMHn","MGC","VMHn","0.967341"
"35879",,"interacts with","MGC (interacts with) PlnT","false","interacts with","MGC (interacts with) PlnT","MGC","PlnT","0.9237877"
"35876",,"interacts with","PTTn (interacts with) PCn","false","interacts with","PTTn (interacts with) PCn","PTTn","PCn","0.8948568"
"35873",,"interacts with","PTTn (interacts with) SMT","false","interacts with","PTTn (interacts with) SMT","PTTn","SMT","0.85842"
"35870",,"interacts with","VPMT (interacts with) CLT","false","interacts with","VPMT (interacts with) CLT","VPMT","CLT","0.9387675"
"35867",,"interacts with","VPMT (interacts with) PCn","false","interacts with","VPMT (interacts with) PCn","VPMT","PCn","0.972846"
"35864",,"interacts with","VPMT (interacts with) SMT","false","interacts with","VPMT (interacts with) SMT","VPMT","SMT","0.9585369"
"35861",,"interacts with","VPMT (interacts with) EnT","false","interacts with","VPMT (interacts with) EnT","VPMT","EnT","0.8521008"
"35858",,"interacts with","VPMT (interacts with) PCT","false","interacts with","VPMT (interacts with) PCT","VPMT","PCT","0.9248169"
"35855",,"interacts with","VPMT (interacts with) PTTn","false","interacts with","VPMT (interacts with) PTTn","VPMT","PTTn","0.9061586"
"35852",,"interacts with","VPLT (interacts with) CLT","false","interacts with","VPLT (interacts with) CLT","VPLT","CLT","0.8119863"
"35849",,"interacts with","VPLT (interacts with) PCn","false","interacts with","VPLT (interacts with) PCn","VPLT","PCn","0.8827162"
"35846",,"interacts with","VPLT (interacts with) SMT","false","interacts with","VPLT (interacts with) SMT","VPLT","SMT","0.9352957"
"35843",,"interacts with","VPLT (interacts with) PCT","false","interacts with","VPLT (interacts with) PCT","VPLT","PCT","0.7551205"
"35840",,"interacts with","VPLT (interacts with) VPMT","false","interacts with","VPLT (interacts with) VPMT","VPLT","VPMT","0.8494195"
"35837",,"interacts with","VMT (interacts with) PSTN","false","interacts with","VMT (interacts with) PSTN","VMT","PSTN","0.7831652"
"35834",,"interacts with","VMT (interacts with) DMH","false","interacts with","VMT (interacts with) DMH","VMT","DMH","0.8675215"
"35831",,"interacts with","VMT (interacts with) AVPV","false","interacts with","VMT (interacts with) AVPV","VMT","AVPV","0.8071798"
"35828",,"interacts with","VMT (interacts with) RT","false","interacts with","VMT (interacts with) RT","VMT","RT","0.8349593"
"35825",,"interacts with","VMT (interacts with) LPT","false","interacts with","VMT (interacts with) LPT","VMT","LPT","0.875185"
