png_finale, scala_png
F79_s001.png, 1.13743
F79_s002.png, 1.18133
F79_s003.png, 1.13831
F79_s004.png, 1.15786
F79_s005.png, 1.18423
F79_s006.png, 1.13208
F79_s007.png, 1.14349
F79_s008.png, 1.14745
F79_s009.png, 1.12828
F79_s010.png, 1.14114
F79_s011.png, 1.13243
F79_s012.png, 1.13222
F79_s013.png, 1.14578
F79_s014.png, 1.12852
F79_s015.png, 1.07784
F79_s016.png, 1.08733
F79_s017.png, 1.14868
F79_s018.png, 1.15396
F79_s019.png, 1.12831
F79_s020.png, 1.14049
F79_s021.png, 1.14698
F79_s022.png, 1.13282
F79_s023.png, 1.13391
F79_s024.png, 1.14652
F79_s025.png, 1.16202
F79_s026.png, 1.17355
F79_s027.png, 1.13489
F79_s028.png, 1.14876
F79_s029.png, 1.12977
F79_s030.png, 1.13597
F79_s031.png, 1.1876
F79_s032.png, 1.17242
F79_s033.png, 1.16702
F79_s034.png, 1.17272
F79_s035.png, 1.18499
F79_s036.png, 1.1502
